NOT-Emotion-Angry-Agressive	Instrument_-_Male_Lead_Vocals
1	1
0	1
0	0
1	1
1	0
1	0
0	1
0	1
0	1
0	1
0	1
1	0
0	1
1	0
0	0
1	0
0	0
0	1
0	1
1	0
1	1
1	0
1	1
1	0
0	0
1	1
1	0
1	0
1	0
1	0
0	1
1	1
1	0
1	1
1	0
1	0
1	1
1	1
1	1
1	1
0	1
1	1
1	1
0	1
0	1
1	0
1	1
1	1
1	1
0	1
1	1
1	1
1	1
0	0
1	1
0	1
1	1
1	0
1	1
1	0
1	0
1	1
1	0
0	1
0	1
0	1
0	0
1	1
0	1
0	1
0	1
1	1
1	0
1	1
1	1
1	1
1	1
1	1
1	1
1	1
0	1
0	1
1	1
0	1
0	1
1	1
1	1
0	1
1	0
1	1
0	1
1	1
1	1
0	0
1	1
0	0
1	0
1	1
0	1
1	1
1	1
0	1
0	1
1	1
0	1
1	1
0	1
0	1
1	1
0	1
1	1
1	1
0	1
1	1
1	1
0	1
1	0
0	0
1	1
0	0
1	0
1	0
1	1
0	0
1	1
0	1
1	1
1	0
1	0
1	0
1	1
0	1
0	1
1	0
1	0
1	0
1	0
1	1
1	1
1	0
1	0
0	1
1	1
1	1
1	0
1	1
1	1
1	1
1	1
1	1
1	0
1	1
1	0
0	0
1	1
0	1
1	1
1	1
1	0
1	1
1	1
0	0
0	1
0	0
0	1
1	1
0	1
1	1
0	1
0	1
0	1
1	1
1	1
1	0
1	0
1	0
0	1
0	1
1	0
1	0
1	0
1	1
0	1
1	1
0	1
0	0
1	1
1	0
1	0
1	1
1	1
1	1
1	1
0	1
0	1
1	1
1	1
0	1
1	1
0	1
0	0
1	1
1	1
1	0
0	0
1	0
1	0
1	1
0	1
1	0
1	0
1	0
0	1
1	1
1	0
1	1
1	1
1	1
0	0
1	1
1	1
1	1
0	1
0	1
1	0
1	0
0	0
1	0
1	1
1	1
1	1
0	1
0	1
1	1
0	1
0	1
0	0
0	1
1	0
1	0
1	1
1	0
0	0
0	1
1	1
1	1
1	0
1	0
0	1
1	1
1	0
1	1
1	1
0	1
1	0
1	0
1	1
0	0
1	1
0	0
1	0
0	1
0	0
0	0
1	1
1	1
1	1
0	0
1	1
0	0
1	1
0	1
1	0
0	1
0	1
1	1
1	1
1	0
1	0
1	1
1	1
0	1
1	1
1	0
0	1
0	0
0	1
1	1
1	1
1	1
1	1
0	1
1	1
1	0
1	1
1	0
0	0
1	1
1	0
1	1
1	0
0	1
1	0
0	1
1	0
0	1
0	1
0	1
1	0
1	0
1	1
0	1
1	1
1	0
1	1
0	1
1	1
1	0
1	0
1	0
0	1
0	1
1	1
1	1
0	1
0	0
1	1
1	1
0	1
0	1
1	1
0	1
0	0
0	0
1	0
1	0
0	0
0	1
0	1
1	1
0	1
1	1
0	1
0	0
0	1
1	1
0	1
1	1
1	0
1	1
0	1
0	0
1	1
0	0
1	0
0	1
0	0
0	0
0	1
1	0
0	1
1	1
0	1
0	1
0	1
1	1
0	1
0	1
0	1
1	1
1	0
0	1
1	1
1	0
0	1
1	1
1	1
1	0
1	1
1	0
1	1
1	0
0	0
1	0
0	1
1	1
0	0
0	1
1	0
1	1
1	0
1	1
1	0
1	0
1	0
1	0
1	0
0	1
0	0
1	1
0	1
1	1
1	1
0	1
1	1
1	1
0	1
1	0
0	1
0	1
1	0
1	0
0	1
0	1
1	1
1	1
1	0
0	1
1	1
1	0
1	1
1	1
0	1
1	1
1	1
1	1
1	0
1	1
1	1
1	1
1	1
0	1
1	1
0	1
1	0
1	1
1	0
0	1
1	1
1	1
1	1
1	0
0	1
1	1
1	1
1	1
0	1
1	1
1	0
1	1
0	1
1	1
0	0
0	0
1	0
1	1
1	1
0	0
0	1
1	1
1	1
1	1
0	1
1	1
0	0
1	0
0	1
0	1
1	1
0	1
0	1
1	1
1	1
1	1
0	1
0	1
1	1
1	1
1	1
1	0
0	1
1	1
1	1
0	1
1	0
1	1
0	1
1	0
0	1
1	1
0	1
1	1
1	0
1	1
0	0
1	0
1	1
1	1
1	1
1	1
1	1
1	1
