Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Class
"s0.08254"	"s0.048394"	"s0.322451"	"s0.099049"	"s-73.856273"	"s2.538128"	"s2.72329"	"s1.110571"	"s1.154735"	"s0.714657"	"s0.653754"	"s0.596543"	"s0.7319"	"s0.247547"	"s0.731591"	"s0.522678"	"s0.176512"	"s0.067492"	"s0.055001"	"s0.369305"	"s0.043764"	"s6.096384"	"s1.972327"	"s1.281913"	"s1.193782"	"s0.905922"	"s0.714515"	"s0.709357"	"s0.678239"	"s0.605224"	"s0.757444"	"s0.622454"	"s0.527404"	"s0.607179"	"s0.027581"	"s0.02372"	"s0.098239"	"s0.009288"	"s1.362681"	"s0.764177"	"s0.437952"	"s0.618824"	"s0.392094"	"s0.237362"	"s0.26934"	"s0.193362"	"s0.20517"	"s0.304813"	"s0.18672"	"s0.138623"	"s0.187749"	"s0.026028"	"s0.03293"	"s0.047781"	"s0.031048"	"s1.589795"	"s0.306917"	"s0.19538"	"s0.267888"	"s0.143344"	"s0.116356"	"s0.142093"	"s0.119128"	"s0.09585"	"s0.149112"	"s0.09499"	"s0.08075"	"s0.103943"	true
"s0.059441"	"s0.043863"	"s0.078191"	"s0.086971"	"s-78.767468"	"s6.717027"	"s1.60086"	"s1.272047"	"s0.450724"	"s1.198539"	"s0.59037"	"s0.600675"	"s0.854583"	"s0.485855"	"s0.391208"	"s0.289649"	"s0.46221"	"s0.024513"	"s0.018568"	"s0.05515"	"s0.03716"	"s3.112949"	"s1.12188"	"s0.871588"	"s0.757328"	"s0.699012"	"s0.614651"	"s0.504641"	"s0.517974"	"s0.482144"	"s0.460213"	"s0.473523"	"s0.457899"	"s0.472944"	"s0.018016"	"s0.014103"	"s0.035999"	"s0.010778"	"s2.68767"	"s0.874187"	"s0.71798"	"s0.649402"	"s0.634258"	"s0.45455"	"s0.367132"	"s0.385036"	"s0.296599"	"s0.316239"	"s0.252553"	"s0.299949"	"s0.340265"	"s0.013975"	"s0.015677"	"s0.064218"	"s0.032007"	"s2.294302"	"s0.406343"	"s0.297613"	"s0.254116"	"s0.216626"	"s0.177537"	"s0.078869"	"s0.101438"	"s0.083054"	"s0.098038"	"s0.077724"	"s0.068808"	"s0.079695"	false
"s0.083345"	"s0.058996"	"s0.246741"	"s0.096424"	"s-71.946973"	"s4.813112"	"s1.858196"	"s1.396135"	"s-0.094299"	"s0.54099"	"s0.622902"	"s0.740594"	"s0.503496"	"s0.44924"	"s0.32354"	"s0.364129"	"s0.694532"	"s0.059126"	"s0.049556"	"s0.282881"	"s0.045784"	"s5.657982"	"s1.792594"	"s1.13945"	"s0.994204"	"s0.787813"	"s0.6263"	"s0.636683"	"s0.615696"	"s0.520165"	"s0.555757"	"s0.535298"	"s0.463908"	"s0.460181"	"s0.029255"	"s0.026124"	"s0.09164"	"s0.010646"	"s2.190082"	"s0.734744"	"s1.050109"	"s0.466742"	"s0.376921"	"s0.25851"	"s0.329764"	"s0.404934"	"s0.370435"	"s0.357379"	"s0.256935"	"s0.264649"	"s0.203851"	"s0.027204"	"s0.028414"	"s0.111074"	"s0.031139"	"s2.035592"	"s0.462544"	"s0.301157"	"s0.25539"	"s0.145611"	"s0.110776"	"s0.169645"	"s0.174224"	"s0.105333"	"s0.124154"	"s0.109605"	"s0.064845"	"s0.109822"	false
"s0.076437"	"s0.051911"	"s0.122605"	"s0.088187"	"s-73.749101"	"s5.45925"	"s0.55592"	"s1.719144"	"s0.433264"	"s0.799224"	"s0.518194"	"s0.733615"	"s0.494932"	"s0.484381"	"s0.315546"	"s0.204777"	"s0.16332"	"s0.035693"	"s0.027468"	"s0.087894"	"s0.040121"	"s3.629315"	"s1.357065"	"s0.937041"	"s0.794567"	"s0.557246"	"s0.456569"	"s0.474474"	"s0.46211"	"s0.431915"	"s0.41868"	"s0.415484"	"s0.413963"	"s0.410805"	"s0.023025"	"s0.018857"	"s0.056882"	"s0.01251"	"s4.001253"	"s0.578469"	"s0.871123"	"s0.505319"	"s0.343674"	"s0.219644"	"s0.195106"	"s0.279286"	"s0.203408"	"s0.246049"	"s0.215166"	"s0.17463"	"s0.226185"	"s0.011152"	"s0.01297"	"s0.050512"	"s0.032038"	"s2.132753"	"s0.301291"	"s0.170098"	"s0.249236"	"s0.142929"	"s0.098309"	"s0.099594"	"s0.083046"	"s0.057488"	"s0.077565"	"s0.075032"	"s0.058229"	"s0.074152"	true
"s0.126068"	"s0.096357"	"s0.216824"	"s0.087664"	"s-69.166725"	"s5.272209"	"s-1.238928"	"s2.025569"	"s-0.415534"	"s0.657289"	"s0.54429"	"s0.865782"	"s0.599226"	"s0.776003"	"s0.342183"	"s0.222485"	"s0.543152"	"s0.037741"	"s0.035383"	"s0.082413"	"s0.039681"	"s2.386195"	"s0.969255"	"s0.804667"	"s0.753999"	"s0.661737"	"s0.648378"	"s0.614197"	"s0.574081"	"s0.559658"	"s0.493566"	"s0.537265"	"s0.54022"	"s0.449796"	"s0.035874"	"s0.029146"	"s0.064975"	"s0.010378"	"s4.813745"	"s2.006952"	"s0.883097"	"s0.493056"	"s0.441085"	"s0.498108"	"s0.390471"	"s0.397807"	"s0.382767"	"s0.254374"	"s0.274232"	"s0.355073"	"s0.174901"	"s0.017582"	"s0.016403"	"s0.043936"	"s0.031816"	"s1.945996"	"s0.368648"	"s0.231802"	"s0.240999"	"s0.185756"	"s0.165442"	"s0.124371"	"s0.118618"	"s0.093798"	"s0.087905"	"s0.133299"	"s0.113307"	"s0.083284"	true
"s0.104755"	"s0.079452"	"s0.158361"	"s0.095594"	"s-70.321611"	"s5.350424"	"s0.813073"	"s1.111043"	"s0.380749"	"s0.869053"	"s0.448668"	"s0.417951"	"s0.409282"	"s0.647849"	"s0.457725"	"s0.518624"	"s0.561589"	"s0.066123"	"s0.063705"	"s0.13192"	"s0.044081"	"s4.234862"	"s1.898714"	"s0.965785"	"s0.92273"	"s0.73393"	"s0.605018"	"s0.621253"	"s0.698345"	"s0.61478"	"s0.546777"	"s0.518434"	"s0.47458"	"s0.498613"	"s0.032098"	"s0.029042"	"s0.058848"	"s0.009558"	"s2.644862"	"s0.795315"	"s0.888355"	"s0.474303"	"s0.36199"	"s0.25441"	"s0.26982"	"s0.330027"	"s0.392016"	"s0.245708"	"s0.258373"	"s0.152862"	"s0.237575"	"s0.044901"	"s0.046117"	"s0.067498"	"s0.031383"	"s1.656621"	"s0.434174"	"s0.289991"	"s0.237225"	"s0.149831"	"s0.099576"	"s0.109765"	"s0.161931"	"s0.107042"	"s0.088179"	"s0.096277"	"s0.093232"	"s0.083129"	true
"s0.113682"	"s0.081506"	"s0.19256"	"s0.09501"	"s-69.524976"	"s3.664564"	"s0.018783"	"s2.12969"	"s0.389211"	"s1.1085"	"s0.497104"	"s0.825016"	"s0.668517"	"s0.541575"	"s0.430849"	"s0.301024"	"s0.324677"	"s0.048177"	"s0.044664"	"s0.112378"	"s0.040994"	"s4.858352"	"s1.048188"	"s1.133487"	"s0.710238"	"s0.749731"	"s0.70169"	"s0.695348"	"s0.577041"	"s0.568318"	"s0.50966"	"s0.558081"	"s0.580548"	"s0.594375"	"s0.023873"	"s0.020202"	"s0.042974"	"s0.010232"	"s3.369986"	"s0.502681"	"s0.632171"	"s0.432804"	"s0.420445"	"s0.41688"	"s0.42759"	"s0.357178"	"s0.334999"	"s0.205275"	"s0.363601"	"s0.292826"	"s0.335712"	"s0.010439"	"s0.011461"	"s0.036598"	"s0.03175"	"s2.441451"	"s0.275235"	"s0.284093"	"s0.154675"	"s0.212516"	"s0.226975"	"s0.164746"	"s0.132359"	"s0.128609"	"s0.120239"	"s0.130358"	"s0.143605"	"s0.155957"	false
"s0.118576"	"s0.075312"	"s0.201006"	"s0.089358"	"s-66.388756"	"s3.303553"	"s0.636868"	"s2.067673"	"s0.527524"	"s0.631899"	"s0.510116"	"s0.249742"	"s0.655622"	"s0.686961"	"s0.576545"	"s0.674215"	"s0.531253"	"s0.05099"	"s0.045833"	"s0.130152"	"s0.041314"	"s2.76449"	"s0.870912"	"s0.754644"	"s0.738645"	"s0.549655"	"s0.525611"	"s0.51812"	"s0.536152"	"s0.497539"	"s0.484382"	"s0.459826"	"s0.437103"	"s0.411964"	"s0.020666"	"s0.019502"	"s0.049216"	"s0.010337"	"s2.309979"	"s0.371263"	"s0.483323"	"s0.248739"	"s0.241929"	"s0.295472"	"s0.260449"	"s0.23585"	"s0.175493"	"s0.201136"	"s0.209162"	"s0.1875"	"s0.150798"	"s0.020415"	"s0.023369"	"s0.038954"	"s0.032055"	"s2.072234"	"s0.281877"	"s0.135512"	"s0.149533"	"s0.120205"	"s0.08065"	"s0.071016"	"s0.091496"	"s0.075478"	"s0.066754"	"s0.068622"	"s0.062434"	"s0.063935"	false
"s0.094707"	"s0.062289"	"s0.13346"	"s0.086266"	"s-69.612838"	"s4.937819"	"s1.427772"	"s1.614862"	"s0.510663"	"s0.805678"	"s0.67173"	"s0.214893"	"s0.752119"	"s0.753789"	"s0.373193"	"s0.46713"	"s0.617024"	"s0.038392"	"s0.02961"	"s0.100403"	"s0.037278"	"s2.974586"	"s0.967451"	"s0.632571"	"s0.641723"	"s0.555574"	"s0.575906"	"s0.524169"	"s0.501797"	"s0.500734"	"s0.473751"	"s0.460743"	"s0.462039"	"s0.46102"	"s0.024486"	"s0.018274"	"s0.056487"	"s0.00985"	"s2.748671"	"s0.772783"	"s0.310655"	"s0.462195"	"s0.407499"	"s0.39599"	"s0.281058"	"s0.259585"	"s0.223314"	"s0.296637"	"s0.234459"	"s0.191014"	"s0.236572"	"s0.015095"	"s0.017752"	"s0.040123"	"s0.032398"	"s1.981672"	"s0.246789"	"s0.156097"	"s0.16241"	"s0.106119"	"s0.095959"	"s0.11079"	"s0.085904"	"s0.101202"	"s0.074537"	"s0.088196"	"s0.075844"	"s0.087769"	false
"s0.143623"	"s0.106597"	"s0.238435"	"s0.089294"	"s-61.701709"	"s3.274724"	"s-0.583428"	"s2.434098"	"s0.522217"	"s0.665748"	"s0.383683"	"s0.857783"	"s0.268451"	"s0.719908"	"s0.739242"	"s0.507286"	"s0.383352"	"s0.031225"	"s0.033204"	"s0.055778"	"s0.042569"	"s1.931838"	"s0.710723"	"s0.667268"	"s0.661876"	"s0.595305"	"s0.506297"	"s0.475897"	"s0.491263"	"s0.496153"	"s0.456056"	"s0.459522"	"s0.432539"	"s0.458248"	"s0.015107"	"s0.01194"	"s0.025385"	"s0.012254"	"s1.605441"	"s0.490463"	"s0.379776"	"s0.457901"	"s0.308778"	"s0.155862"	"s0.210198"	"s0.294011"	"s0.231984"	"s0.236352"	"s0.185854"	"s0.221932"	"s0.159916"	"s0.007135"	"s0.010847"	"s0.033496"	"s0.031205"	"s2.032929"	"s0.205005"	"s0.134404"	"s0.167258"	"s0.093217"	"s0.095798"	"s0.0694"	"s0.07069"	"s0.100979"	"s0.087204"	"s0.065148"	"s0.072091"	"s0.098533"	false
