Mean_Acc1298_Mean_Mem40_Centroid	Mean_Acc1298_Mean_Mem40_Rolloff	Mean_Acc1298_Mean_Mem40_Flux	Mean_Acc1298_Mean_Mem40_MFCC_0	Mean_Acc1298_Mean_Mem40_MFCC_1	Mean_Acc1298_Mean_Mem40_MFCC_2	Mean_Acc1298_Mean_Mem40_MFCC_3	Mean_Acc1298_Mean_Mem40_MFCC_4	Mean_Acc1298_Mean_Mem40_MFCC_5	Mean_Acc1298_Mean_Mem40_MFCC_6	Mean_Acc1298_Mean_Mem40_MFCC_7	Mean_Acc1298_Mean_Mem40_MFCC_8	Mean_Acc1298_Mean_Mem40_MFCC_9	Mean_Acc1298_Mean_Mem40_MFCC_10	Mean_Acc1298_Mean_Mem40_MFCC_11	Mean_Acc1298_Mean_Mem40_MFCC_12	Mean_Acc1298_Std_Mem40_Centroid	Mean_Acc1298_Std_Mem40_Rolloff	Mean_Acc1298_Std_Mem40_Flux	Mean_Acc1298_Std_Mem40_MFCC_0	Mean_Acc1298_Std_Mem40_MFCC_1	Mean_Acc1298_Std_Mem40_MFCC_2	Mean_Acc1298_Std_Mem40_MFCC_3	Mean_Acc1298_Std_Mem40_MFCC_4	Mean_Acc1298_Std_Mem40_MFCC_5	Mean_Acc1298_Std_Mem40_MFCC_6	Mean_Acc1298_Std_Mem40_MFCC_7	Mean_Acc1298_Std_Mem40_MFCC_8	Mean_Acc1298_Std_Mem40_MFCC_9	Mean_Acc1298_Std_Mem40_MFCC_10	Mean_Acc1298_Std_Mem40_MFCC_11	Mean_Acc1298_Std_Mem40_MFCC_12	Std_Acc1298_Mean_Mem40_Centroid	Std_Acc1298_Mean_Mem40_Rolloff	Std_Acc1298_Mean_Mem40_Flux	Std_Acc1298_Mean_Mem40_MFCC_0	Std_Acc1298_Mean_Mem40_MFCC_1	Std_Acc1298_Mean_Mem40_MFCC_2	Std_Acc1298_Mean_Mem40_MFCC_3	Std_Acc1298_Mean_Mem40_MFCC_4	Std_Acc1298_Mean_Mem40_MFCC_5	Std_Acc1298_Mean_Mem40_MFCC_6	Std_Acc1298_Mean_Mem40_MFCC_7	Std_Acc1298_Mean_Mem40_MFCC_8	Std_Acc1298_Mean_Mem40_MFCC_9	Std_Acc1298_Mean_Mem40_MFCC_10	Std_Acc1298_Mean_Mem40_MFCC_11	Std_Acc1298_Mean_Mem40_MFCC_12	Std_Acc1298_Std_Mem40_Centroid	Std_Acc1298_Std_Mem40_Rolloff	Std_Acc1298_Std_Mem40_Flux	Std_Acc1298_Std_Mem40_MFCC_0	Std_Acc1298_Std_Mem40_MFCC_1	Std_Acc1298_Std_Mem40_MFCC_2	Std_Acc1298_Std_Mem40_MFCC_3	Std_Acc1298_Std_Mem40_MFCC_4	Std_Acc1298_Std_Mem40_MFCC_5	Std_Acc1298_Std_Mem40_MFCC_6	Std_Acc1298_Std_Mem40_MFCC_7	Std_Acc1298_Std_Mem40_MFCC_8	Std_Acc1298_Std_Mem40_MFCC_9	Std_Acc1298_Std_Mem40_MFCC_10	Std_Acc1298_Std_Mem40_MFCC_11	Std_Acc1298_Std_Mem40_MFCC_12	BH_LowPeakAmp	BH_LowPeakBPM	BH_HighPeakAmp	BH_HighPeakBPM	BH_HighLowRatio	BHSUM1	BHSUM2	BHSUM3	Class
"s0.034741"	"s0.089665"	"s0.091225"	"s-73.302422"	"s6.215179"	"s0.615074"	"s2.03716"	"s0.804065"	"s1.301409"	"s0.558576"	"s0.672063"	"s0.783788"	"s0.76664"	"s0.458712"	"s0.530384"	"s0.812429"	"s0.028851"	"s0.129039"	"s0.039614"	"s5.762173"	"s1.636819"	"s1.170034"	"s1.051511"	"s0.764163"	"s0.642705"	"s0.617868"	"s0.510265"	"s0.566213"	"s0.509149"	"s0.477275"	"s0.505073"	"s0.463535"	"s0.013519"	"s0.050591"	"s0.009025"	"s8.156257"	"s1.077167"	"s0.624711"	"s0.810244"	"s0.399568"	"s0.279947"	"s0.314215"	"s0.231439"	"s0.345401"	"s0.285389"	"s0.210613"	"s0.321896"	"s0.290551"	"s0.022774"	"s0.095801"	"s0.015057"	"s4.748694"	"s0.536378"	"s0.296306"	"s0.27321"	"s0.1758"	"s0.105508"	"s0.168246"	"s0.115849"	"s0.13602"	"s0.110514"	"s0.100517"	"s0.11863"	"s0.094923"	"s0.051035"	"s68.0"	"s0.014937"	"s136.0"	"s2.0"	"s0.245457"	"s0.105065"	"s0.405399"	true
"s0.081374"	"s0.272747"	"s0.085733"	"s-62.584437"	"s3.183163"	"s-0.218145"	"s0.163038"	"s0.620251"	"s0.458514"	"s0.041426"	"s0.308287"	"s0.538152"	"s0.594871"	"s0.734332"	"s0.415489"	"s0.761508"	"s0.066288"	"s0.26237"	"s0.034438"	"s3.480874"	"s1.596532"	"s0.943803"	"s0.804444"	"s0.511229"	"s0.49867"	"s0.523039"	"s0.480916"	"s0.488657"	"s0.483166"	"s0.445187"	"s0.415994"	"s0.405593"	"s0.013621"	"s0.073041"	"s0.010094"	"s1.243981"	"s0.82979"	"s0.252972"	"s0.347831"	"s0.205087"	"s0.168601"	"s0.178009"	"s0.14408"	"s0.178703"	"s0.146937"	"s0.12558"	"s0.128202"	"s0.107007"	"s0.020028"	"s0.06694"	"s0.029483"	"s3.963534"	"s0.38236"	"s0.168389"	"s0.117525"	"s0.098341"	"s0.087046"	"s0.057991"	"s0.059393"	"s0.059457"	"s0.053439"	"s0.067684"	"s0.070075"	"s0.041565"	"s0.295031"	"s70.0"	"s0.276366"	"s140.0"	"s2.0"	"s0.343547"	"s0.276366"	"s0.710924"	false
"s0.110545"	"s0.273567"	"s0.08441"	"s-65.235325"	"s2.794964"	"s0.639047"	"s1.281297"	"s0.757896"	"s0.489412"	"s0.627636"	"s0.469322"	"s0.644336"	"s0.441556"	"s0.335964"	"s0.290713"	"s0.158538"	"s0.082743"	"s0.215373"	"s0.03597"	"s4.834742"	"s1.213443"	"s0.864034"	"s0.909222"	"s0.780572"	"s0.550833"	"s0.63974"	"s0.573309"	"s0.526312"	"s0.562622"	"s0.538407"	"s0.492292"	"s0.455562"	"s0.029112"	"s0.070433"	"s0.008525"	"s2.759906"	"s0.592634"	"s0.761852"	"s0.56874"	"s0.589827"	"s0.281181"	"s0.437752"	"s0.479889"	"s0.22732"	"s0.296224"	"s0.273855"	"s0.191804"	"s0.198025"	"s0.038119"	"s0.065427"	"s0.029622"	"s3.371796"	"s0.430373"	"s0.172862"	"s0.177523"	"s0.184333"	"s0.095718"	"s0.139323"	"s0.109279"	"s0.09065"	"s0.117886"	"s0.100852"	"s0.079917"	"s0.085821"	"s0.161574"	"s61.0"	"s0.0"	"s183.0"	"s3.0"	"s0.188693"	"s0.045941"	"s0.457372"	true
"s0.042481"	"s0.199281"	"s0.093447"	"s-80.305152"	"s5.824409"	"s0.648848"	"s1.75487"	"s1.495532"	"s0.739909"	"s0.809644"	"s0.460945"	"s0.409566"	"s0.680122"	"s0.590405"	"s0.48138"	"s0.621956"	"s0.049939"	"s0.281616"	"s0.044727"	"s6.719538"	"s1.377811"	"s1.265771"	"s0.986178"	"s0.710955"	"s0.706904"	"s0.710147"	"s0.688825"	"s0.699573"	"s0.577976"	"s0.533882"	"s0.501818"	"s0.495368"	"s0.020749"	"s0.106318"	"s0.009108"	"s3.992357"	"s0.656429"	"s0.927692"	"s0.569916"	"s0.378919"	"s0.530714"	"s0.317807"	"s0.308447"	"s0.324934"	"s0.263444"	"s0.359477"	"s0.274257"	"s0.233287"	"s0.032678"	"s0.11948"	"s0.028707"	"s4.125111"	"s0.461304"	"s0.280751"	"s0.246108"	"s0.142805"	"s0.183657"	"s0.124399"	"s0.155513"	"s0.167114"	"s0.113774"	"s0.112815"	"s0.129145"	"s0.12233"	"s0.043012"	"s66.0"	"s0.206562"	"s132.0"	"s2.0"	"s0.102839"	"s0.241934"	"s0.351009"	false
"s0.07455"	"s0.14088"	"s0.079789"	"s-93.697749"	"s5.543229"	"s1.064262"	"s0.899152"	"s0.890336"	"s0.702328"	"s0.490685"	"s0.796904"	"s0.745373"	"s0.911234"	"s0.594429"	"s0.454186"	"s0.384836"	"s0.035751"	"s0.085592"	"s0.029413"	"s4.755293"	"s1.11629"	"s0.926772"	"s0.634988"	"s0.63966"	"s0.552653"	"s0.527708"	"s0.584705"	"s0.696173"	"s0.648611"	"s0.689096"	"s0.643595"	"s0.578063"	"s0.047014"	"s0.136984"	"s0.010356"	"s7.71314"	"s1.592642"	"s1.02719"	"s0.591399"	"s0.565654"	"s0.52442"	"s0.554501"	"s0.6062"	"s0.61676"	"s0.596926"	"s0.524291"	"s0.637971"	"s0.63796"	"s0.036151"	"s0.087741"	"s0.03018"	"s5.085385"	"s0.551937"	"s0.257562"	"s0.15995"	"s0.175855"	"s0.150907"	"s0.142092"	"s0.222804"	"s0.329188"	"s0.251668"	"s0.265049"	"s0.284196"	"s0.189988"	"s0.029308"	"s100.0"	"s0.144039"	"s200.0"	"s2.0"	"s0.195196"	"s0.310801"	"s0.683817"	false
"s0.052434"	"s0.110653"	"s0.09677"	"s-69.792637"	"s6.598383"	"s1.258462"	"s2.873985"	"s0.503222"	"s0.782427"	"s-0.143505"	"s0.338997"	"s-0.186085"	"s0.325765"	"s0.157168"	"s0.454723"	"s0.353157"	"s0.0611"	"s0.18247"	"s0.046543"	"s5.414537"	"s1.64609"	"s1.149108"	"s0.903827"	"s0.743446"	"s0.70045"	"s0.610953"	"s0.607789"	"s0.56981"	"s0.515551"	"s0.473992"	"s0.492629"	"s0.467567"	"s0.017641"	"s0.049527"	"s0.007909"	"s3.835748"	"s0.769825"	"s0.808127"	"s0.560954"	"s0.396785"	"s0.420713"	"s0.542216"	"s0.508029"	"s0.473474"	"s0.459661"	"s0.355348"	"s0.308208"	"s0.340781"	"s0.037052"	"s0.075122"	"s0.027889"	"s4.694374"	"s0.443698"	"s0.346999"	"s0.277305"	"s0.154298"	"s0.134325"	"s0.098063"	"s0.129451"	"s0.123337"	"s0.151916"	"s0.082887"	"s0.110493"	"s0.072176"	"s0.218684"	"s64.0"	"s0.05387"	"s128.0"	"s2.0"	"s0.403684"	"s0.24591"	"s0.649594"	true
"s0.064067"	"s0.147375"	"s0.078124"	"s-68.698041"	"s4.052059"	"s1.14922"	"s2.063466"	"s0.531396"	"s0.877409"	"s0.66098"	"s0.089885"	"s0.51714"	"s0.166582"	"s0.775128"	"s0.812568"	"s0.364786"	"s0.036757"	"s0.120716"	"s0.029871"	"s3.813653"	"s0.924273"	"s0.969948"	"s0.607092"	"s0.562143"	"s0.487347"	"s0.453649"	"s0.476279"	"s0.440538"	"s0.427923"	"s0.436823"	"s0.474516"	"s0.455837"	"s0.019871"	"s0.052885"	"s0.008053"	"s2.713319"	"s0.424945"	"s0.619237"	"s0.336648"	"s0.271894"	"s0.182622"	"s0.2211"	"s0.201635"	"s0.177046"	"s0.182256"	"s0.216797"	"s0.258205"	"s0.18109"	"s0.024036"	"s0.051788"	"s0.030206"	"s3.777514"	"s0.291206"	"s0.182281"	"s0.159225"	"s0.10201"	"s0.08913"	"s0.085498"	"s0.066714"	"s0.078375"	"s0.067474"	"s0.078946"	"s0.09447"	"s0.113727"	"s0.167898"	"s60.0"	"s0.358269"	"s120.0"	"s2.0"	"s0.755628"	"s0.427281"	"s1.182908"	true
"s0.044949"	"s0.092085"	"s0.097908"	"s-68.406051"	"s4.552287"	"s0.898913"	"s1.641708"	"s1.490264"	"s1.269593"	"s0.884284"	"s0.808403"	"s0.150058"	"s0.474578"	"s0.780169"	"s0.698994"	"s0.767477"	"s0.037329"	"s0.129705"	"s0.043602"	"s5.843585"	"s1.562391"	"s1.162586"	"s1.095826"	"s1.011066"	"s0.753695"	"s0.825064"	"s0.648638"	"s0.658814"	"s0.544174"	"s0.483505"	"s0.565364"	"s0.464623"	"s0.02144"	"s0.042342"	"s0.009317"	"s2.278805"	"s0.584095"	"s0.377787"	"s0.433472"	"s0.405403"	"s0.263973"	"s0.279862"	"s0.233755"	"s0.246134"	"s0.193811"	"s0.128118"	"s0.197081"	"s0.157612"	"s0.035572"	"s0.068647"	"s0.028444"	"s3.708926"	"s0.376434"	"s0.2297"	"s0.237802"	"s0.2602"	"s0.105052"	"s0.116184"	"s0.148467"	"s0.105881"	"s0.11271"	"s0.081464"	"s0.081107"	"s0.071943"	"s0.037882"	"s53.0"	"s0.059756"	"s106.0"	"s2.0"	"s0.23707"	"s0.087547"	"s0.329783"	false
"s0.081354"	"s0.302058"	"s0.09724"	"s-76.209068"	"s2.419066"	"s1.353814"	"s1.681155"	"s1.077603"	"s1.078218"	"s0.875479"	"s0.858871"	"s0.77323"	"s0.843999"	"s0.734046"	"s0.620638"	"s0.670318"	"s0.087255"	"s0.327868"	"s0.04596"	"s6.512197"	"s1.529419"	"s1.16659"	"s0.81849"	"s0.716019"	"s0.682405"	"s0.539359"	"s0.464374"	"s0.512859"	"s0.502584"	"s0.477341"	"s0.467416"	"s0.453966"	"s0.018392"	"s0.053047"	"s0.009042"	"s2.486091"	"s0.392817"	"s0.437824"	"s0.416101"	"s0.194697"	"s0.217095"	"s0.107007"	"s0.121507"	"s0.136194"	"s0.155098"	"s0.146949"	"s0.173602"	"s0.145579"	"s0.019922"	"s0.03042"	"s0.02836"	"s3.928069"	"s0.223277"	"s0.164591"	"s0.181582"	"s0.118775"	"s0.114469"	"s0.061956"	"s0.079447"	"s0.068104"	"s0.08977"	"s0.060114"	"s0.076139"	"s0.103849"	"s0.78087"	"s66.0"	"s1.156114"	"s132.0"	"s2.0"	"s1.131073"	"s1.204185"	"s2.335258"	true
"s0.039819"	"s0.056986"	"s0.073635"	"s-83.146547"	"s11.224703"	"s1.280494"	"s1.008498"	"s0.940606"	"s0.401406"	"s0.008756"	"s0.388885"	"s0.428252"	"s0.200104"	"s0.247948"	"s0.508959"	"s0.575344"	"s0.010135"	"s0.019275"	"s0.028009"	"s3.299295"	"s0.862004"	"s0.643745"	"s0.491714"	"s0.487018"	"s0.395002"	"s0.451746"	"s0.415611"	"s0.419919"	"s0.380613"	"s0.42653"	"s0.393594"	"s0.368378"	"s0.014836"	"s0.038131"	"s0.008281"	"s5.209001"	"s1.18906"	"s1.036365"	"s0.420646"	"s0.47551"	"s0.277937"	"s0.409208"	"s0.393988"	"s0.470132"	"s0.247319"	"s0.33531"	"s0.309596"	"s0.288299"	"s0.028101"	"s0.061662"	"s0.030883"	"s4.743869"	"s0.704132"	"s0.253414"	"s0.181521"	"s0.135988"	"s0.128187"	"s0.14627"	"s0.137304"	"s0.15968"	"s0.147272"	"s0.185677"	"s0.114503"	"s0.084013"	"s0.025843"	"s100.0"	"s0.0"	"s200.0"	"s2.0"	"s0.084776"	"s0.137788"	"s0.248702"	false
