%
% ARFF data file, generated by KNIME
%
% Date: Thu Jun 22 10:41:11 CEST 2017
% User: guillaume
%

@RELATION DataTable
@ATTRIBUTE att0	STRING
@ATTRIBUTE att1	STRING
@ATTRIBUTE att2	STRING
@ATTRIBUTE att3	STRING
@ATTRIBUTE att4	STRING
@ATTRIBUTE att5	STRING
@ATTRIBUTE att6	STRING
@ATTRIBUTE att7	STRING
@ATTRIBUTE att8	STRING
@ATTRIBUTE att9	STRING
@ATTRIBUTE Class	{cortana,false}

@DATA
s83,s177,s167,s175,s103,s89,s11,s131,s55,s101,cortana
s142,s177,s167,s175,s103,s89,s11,s131,s126,s21,cortana
s113,s177,s167,s175,s103,s89,s11,s131,s8,s27,cortana
s167,s177,s167,s175,s103,s89,s11,s131,s114,s143,cortana
s40,s177,s167,s175,s103,s89,s11,s131,s14,s64,cortana
s106,s177,s167,s175,s103,s89,s11,s131,s68,s140,cortana
s187,s177,s167,s175,s103,s89,s11,s131,s32,s129,cortana
s147,s177,s167,s175,s103,s89,s11,s131,s61,s70,cortana
s157,s177,s167,s175,s103,s89,s11,s131,s120,s170,cortana
s150,s177,s167,s175,s103,s89,s11,s131,s1,s20,cortana
s81,s177,s167,s175,s103,s89,s11,s131,s149,s78,cortana
s6,s177,s167,s175,s103,s89,s11,s131,s97,s193,cortana
s126,s177,s167,s175,s103,s89,s11,s131,s41,s2,cortana
s100,s177,s167,s175,s103,s89,s11,s131,s41,s139,cortana
s173,s177,s167,s175,s103,s89,s11,s131,s74,s73,cortana
s106,s177,s167,s175,s103,s89,s11,s131,s81,s18,cortana
s84,s61,s71,s135,s46,s38,s21,s38,s57,s34,cortana
s158,s177,s167,s175,s103,s89,s11,s131,s187,s103,cortana
s162,s177,s167,s175,s103,s89,s11,s131,s0,s157,cortana
s133,s177,s167,s175,s103,s89,s11,s131,s80,s140,cortana
s10,s177,s167,s175,s103,s89,s11,s131,s109,s18,cortana
s108,s177,s167,s175,s103,s89,s11,s131,s70,s43,cortana
s23,s177,s167,s175,s103,s89,s11,s131,s43,s86,cortana
s123,s177,s167,s175,s103,s89,s11,s131,s58,s32,cortana
s31,s177,s167,s175,s103,s89,s11,s131,s112,s116,cortana
s127,s177,s167,s175,s103,s89,s11,s131,s74,s7,cortana
s49,s177,s167,s175,s103,s89,s11,s131,s27,s41,cortana
s99,s177,s167,s175,s103,s89,s11,s131,s2,s104,cortana
s22,s177,s167,s175,s103,s89,s11,s131,s110,s87,cortana
s8,s177,s167,s175,s103,s89,s11,s131,s128,s193,cortana
s44,s177,s167,s175,s103,s89,s11,s131,s173,s156,cortana
s187,s177,s167,s175,s103,s89,s11,s131,s63,s129,cortana
s131,s191,s98,s113,s33,s153,s22,s145,s131,s61,cortana
s164,s177,s167,s175,s103,s89,s11,s131,s135,s78,cortana
s139,s177,s167,s175,s103,s89,s11,s131,s125,s51,cortana
s136,s177,s167,s175,s103,s89,s11,s131,s83,s149,cortana
s38,s177,s167,s175,s103,s89,s11,s131,s180,s135,cortana
s61,s177,s167,s175,s103,s89,s11,s131,s181,s74,cortana
s79,s177,s167,s175,s103,s89,s11,s131,s165,s107,cortana
s102,s177,s167,s175,s103,s89,s11,s131,s83,s97,cortana
s133,s177,s167,s175,s103,s89,s11,s131,s105,s89,cortana
s175,s177,s167,s175,s103,s89,s11,s131,s65,s180,cortana
s138,s177,s167,s175,s103,s89,s11,s131,s194,s166,cortana
s175,s177,s167,s175,s103,s89,s11,s131,s73,s56,cortana
s25,s53,s137,s123,s15,s102,s62,s100,s195,s91,cortana
s171,s177,s167,s175,s103,s89,s11,s131,s25,s135,cortana
s3,s177,s167,s175,s103,s89,s11,s131,s75,s54,cortana
s67,s177,s167,s175,s103,s89,s11,s131,s163,s37,cortana
s166,s177,s167,s175,s103,s89,s11,s131,s52,s42,cortana
s22,s177,s167,s175,s103,s89,s11,s131,s190,s178,cortana
s140,s177,s167,s175,s103,s89,s11,s131,s142,s76,cortana
s71,s177,s167,s175,s103,s89,s11,s131,s136,s83,cortana
s24,s177,s167,s175,s103,s89,s11,s131,s76,s29,cortana
s117,s177,s167,s175,s103,s89,s11,s131,s14,s108,cortana
s91,s177,s167,s175,s103,s89,s11,s131,s185,s34,cortana
s139,s177,s167,s175,s103,s89,s11,s131,s35,s131,cortana
s181,s177,s167,s175,s103,s89,s11,s131,s168,s91,cortana
s130,s177,s167,s175,s103,s89,s11,s131,s101,s14,cortana
s71,s177,s167,s175,s103,s89,s11,s131,s159,s114,cortana
s86,s177,s167,s175,s103,s89,s11,s131,s106,s185,cortana
s169,s177,s167,s175,s103,s89,s11,s131,s176,s55,cortana
s149,s177,s167,s175,s103,s89,s11,s131,s23,s192,cortana
s81,s177,s167,s175,s103,s89,s11,s131,s96,s37,cortana
s124,s177,s167,s175,s103,s89,s11,s131,s7,s195,cortana
s3,s177,s167,s175,s103,s89,s11,s131,s171,s101,cortana
s197,s177,s167,s175,s103,s89,s11,s131,s23,s3,cortana
s122,s177,s167,s175,s103,s89,s11,s131,s133,s121,cortana
s87,s177,s167,s175,s103,s89,s11,s131,s59,s191,cortana
s145,s138,s150,s116,s7,s122,s72,s138,s164,s9,cortana
s115,s177,s167,s175,s103,s89,s11,s131,s53,s90,cortana
s129,s177,s167,s175,s103,s89,s11,s131,s88,s47,cortana
s80,s177,s167,s175,s103,s89,s11,s131,s60,s9,cortana
s1,s177,s167,s175,s103,s89,s11,s131,s86,s138,cortana
s99,s177,s167,s175,s103,s89,s11,s131,s155,s27,cortana
s6,s177,s167,s175,s103,s89,s11,s131,s143,s7,cortana
s165,s177,s167,s175,s103,s89,s11,s131,s60,s156,cortana
s67,s177,s167,s175,s103,s89,s11,s131,s113,s35,cortana
s134,s177,s167,s175,s103,s89,s11,s131,s47,s116,cortana
s114,s177,s167,s175,s103,s89,s11,s131,s9,s41,cortana
s48,s177,s167,s175,s103,s89,s11,s131,s44,s45,cortana
s153,s177,s167,s175,s103,s89,s11,s131,s18,s137,cortana
s110,s177,s167,s175,s103,s89,s11,s131,s116,s58,cortana
s100,s177,s167,s175,s103,s89,s11,s131,s44,s107,cortana
s89,s177,s167,s175,s103,s89,s11,s131,s161,s37,cortana
s142,s177,s167,s175,s103,s89,s11,s131,s180,s99,cortana
s132,s177,s167,s175,s103,s89,s11,s131,s180,s37,cortana
s168,s177,s167,s175,s103,s89,s11,s131,s42,s58,cortana
s16,s177,s167,s175,s103,s89,s11,s131,s79,s53,cortana
s61,s177,s167,s175,s103,s89,s11,s131,s2,s39,cortana
s56,s177,s167,s175,s103,s89,s11,s131,s37,s187,cortana
s131,s177,s167,s175,s103,s89,s11,s131,s168,s149,cortana
s112,s177,s167,s175,s103,s89,s11,s131,s179,s137,cortana
s88,s177,s167,s175,s103,s89,s11,s131,s175,s64,cortana
s151,s177,s167,s175,s103,s89,s11,s131,s155,s157,cortana
s10,s177,s167,s175,s103,s89,s11,s131,s45,s36,cortana
s17,s177,s167,s175,s103,s89,s11,s131,s127,s187,cortana
s190,s177,s167,s175,s103,s89,s11,s131,s197,s182,cortana
s96,s177,s167,s175,s103,s89,s11,s131,s127,s158,cortana
s66,s177,s167,s175,s103,s89,s11,s131,s142,s144,cortana
s24,s177,s167,s175,s103,s89,s11,s131,s17,s112,cortana
s81,s177,s167,s175,s103,s89,s11,s131,s52,s28,cortana
