att0	att1	att2	att3	att4	att5	att6	att7	att8	att9	att10	att11	att12	att13	att14	att15	att16	att17	att18	att19	att20	att21	att22	att23	att24	att25	att26	att27	att28	att29	att30	att31	att32	att33	att34	att35	att36	att37	att38	att39	att40	att41	att42	att43	att44	att45	att46	att47	att48	att49	Class
"s1"	"s15"	"s10"	"s12"	"s39"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s7"	"s37"	"s38"	true
"s7"	"s33"	"s47"	"s3"	"s30"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s13"	"s37"	"s10"	true
"s0"	"s9"	"s43"	"s36"	"s7"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s38"	"s32"	"s6"	true
"s1"	"s11"	"s16"	"s41"	"s28"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s5"	"s7"	"s20"	true
"s19"	"s35"	"s35"	"s37"	"s47"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s8"	"s22"	"s22"	true
"s29"	"s40"	"s1"	"s46"	"s17"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s4"	"s12"	"s19"	true
"s10"	"s35"	"s48"	"s8"	"s32"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s21"	"s9"	"s41"	true
"s22"	"s44"	"s43"	"s21"	"s13"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s32"	"s2"	"s18"	true
"s41"	"s8"	"s26"	"s1"	"s47"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s32"	"s0"	"s14"	true
"s14"	"s31"	"s40"	"s11"	"s31"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s34"	"s20"	"s15"	true
"s8"	"s22"	"s38"	"s3"	"s25"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s26"	"s20"	"s0"	true
"s1"	"s33"	"s0"	"s33"	"s39"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s46"	"s2"	"s35"	true
"s15"	"s37"	"s42"	"s43"	"s44"	"s42"	"s32"	"s14"	"s37"	"s30"	"s6"	"s28"	"s9"	"s1"	"s21"	"s11"	"s8"	"s25"	"s23"	"s40"	"s27"	"s19"	"s0"	"s28"	"s40"	"s41"	"s8"	"s4"	"s5"	"s29"	"s36"	"s33"	"s47"	"s31"	"s37"	"s37"	"s42"	"s3"	"s24"	"s15"	"s49"	"s30"	"s30"	"s23"	"s33"	"s10"	"s28"	"s42"	"s46"	"s28"	true
"s14"	"s46"	"s27"	"s29"	"s27"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s49"	"s1"	"s48"	true
