"Col0"	"Col1"	"Col2"	"Col3"	"Col4"	"Col5"	"Col6"	"Col7"	"Col8"	"Col9"	"Col10"	"Col11"	"Col12"	"Col13"	"Col14"	"Col15"	"Col16"	"Col17"	"Col18"	"Col19"	"Col20"	"Col21"	"Col22"	"Col23"	"Col24"	"Col25"	"Col26"	"Col27"	"Col28"	"Col29"	"Col30"	"Col31"	"Col32"	"Col33"	Class
"s1"	"s0"	"s0.99539"	"s-0.05889"	"s0.85243"	"s0.02306"	"s0.83398"	"s-0.37708"	"s1.0"	"s0.0376"	"s0.85243"	"s-0.17755"	"s0.59755"	"s-0.44945"	"s0.60536"	"s-0.38223"	"s0.84356"	"s-0.38542"	"s0.58212"	"s-0.32192"	"s0.56971"	"s-0.29674"	"s0.36946"	"s-0.47357"	"s0.56811"	"s-0.51171"	"s0.41078"	"s-0.46168"	"s0.21266"	"s-0.3409"	"s0.42267"	"s-0.54487"	"s0.18641"	"s-0.453"	true
"s1"	"s0"	"s1.0"	"s-0.18829"	"s0.93035"	"s-0.36156"	"s-0.10868"	"s-0.93597"	"s1.0"	"s-0.04549"	"s0.50874"	"s-0.67743"	"s0.34432"	"s-0.69707"	"s-0.51685"	"s-0.97515"	"s0.05499"	"s-0.62237"	"s0.33109"	"s-1.0"	"s-0.13151"	"s-0.453"	"s-0.18056"	"s-0.35734"	"s-0.20332"	"s-0.26569"	"s-0.20468"	"s-0.18401"	"s-0.1904"	"s-0.11593"	"s-0.16626"	"s-0.06288"	"s-0.13738"	"s-0.02447"	false
"s1"	"s0"	"s1.0"	"s-0.03365"	"s1.0"	"s0.00485"	"s1.0"	"s-0.12062"	"s0.88965"	"s0.01198"	"s0.73082"	"s0.05346"	"s0.85443"	"s0.00827"	"s0.54591"	"s0.00299"	"s0.83775"	"s-0.13644"	"s0.75535"	"s-0.0854"	"s0.70887"	"s-0.27502"	"s0.43385"	"s-0.12062"	"s0.57528"	"s-0.4022"	"s0.58984"	"s-0.22145"	"s0.431"	"s-0.17365"	"s0.60436"	"s-0.2418"	"s0.56045"	"s-0.38238"	true
"s1"	"s0"	"s1.0"	"s-0.45161"	"s1.0"	"s1.0"	"s0.71216"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-1.0"	"s0.14516"	"s0.54094"	"s-0.3933"	"s-1.0"	"s-0.54467"	"s-0.69975"	"s1.0"	"s0.0"	"s0.0"	"s1.0"	"s0.90695"	"s0.51613"	"s1.0"	"s1.0"	"s-0.20099"	"s0.25682"	"s1.0"	"s-0.32382"	"s1.0"	false
"s1"	"s0"	"s1.0"	"s-0.02401"	"s0.9414"	"s0.06531"	"s0.92106"	"s-0.23255"	"s0.77152"	"s-0.16399"	"s0.52798"	"s-0.20275"	"s0.56409"	"s-0.00712"	"s0.34395"	"s-0.27457"	"s0.5294"	"s-0.2178"	"s0.45107"	"s-0.17813"	"s0.05982"	"s-0.35575"	"s0.02309"	"s-0.52879"	"s0.03286"	"s-0.65158"	"s0.1329"	"s-0.53206"	"s0.02431"	"s-0.62197"	"s-0.05707"	"s-0.59573"	"s-0.04608"	"s-0.65697"	true
"s1"	"s0"	"s0.02337"	"s-0.00592"	"s-0.09924"	"s-0.11949"	"s-0.00763"	"s-0.11824"	"s0.14706"	"s0.06637"	"s0.03786"	"s-0.06302"	"s0.0"	"s0.0"	"s-0.04572"	"s-0.1554"	"s-0.00343"	"s-0.10196"	"s-0.11575"	"s-0.05414"	"s0.01838"	"s0.03669"	"s0.01519"	"s0.00888"	"s0.03513"	"s-0.01535"	"s-0.0324"	"s0.09223"	"s-0.07859"	"s0.00732"	"s0.0"	"s0.0"	"s-3.9E-4"	"s0.12011"	false
"s1"	"s0"	"s0.97588"	"s-0.10602"	"s0.94601"	"s-0.208"	"s0.92806"	"s-0.2835"	"s0.85996"	"s-0.27342"	"s0.79766"	"s-0.47929"	"s0.78225"	"s-0.50764"	"s0.74628"	"s-0.61436"	"s0.57945"	"s-0.68086"	"s0.37852"	"s-0.73641"	"s0.36324"	"s-0.76562"	"s0.31898"	"s-0.79753"	"s0.22792"	"s-0.81634"	"s0.13659"	"s-0.8251"	"s0.04606"	"s-0.82395"	"s-0.04262"	"s-0.81318"	"s-0.13832"	"s-0.80975"	true
"s0"	"s0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	"s-1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s0.96355"	"s-0.07198"	"s1.0"	"s-0.14333"	"s1.0"	"s-0.21313"	"s1.0"	"s-0.36174"	"s0.9257"	"s-0.43569"	"s0.9451"	"s-0.40668"	"s0.90392"	"s-0.46381"	"s0.98305"	"s-0.35257"	"s0.84537"	"s-0.6602"	"s0.75346"	"s-0.60589"	"s0.69637"	"s-0.64225"	"s0.85106"	"s-0.6544"	"s0.57577"	"s-0.69712"	"s0.25435"	"s-0.63919"	"s0.45114"	"s-0.72779"	"s0.38895"	"s-0.7342"	true
"s1"	"s0"	"s-0.01864"	"s-0.08459"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.1147"	"s-0.2681"	"s-0.45663"	"s-0.38172"	"s0.0"	"s0.0"	"s-0.33656"	"s0.38602"	"s-0.37133"	"s0.15018"	"s0.63728"	"s0.22115"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-0.14803"	"s-0.01326"	"s0.20645"	"s-0.02294"	"s0.0"	"s0.0"	"s0.16595"	"s0.24086"	"s-0.08208"	"s0.38065"	false
