cap-shape	cap-surface	cap-color	bruises?	odor	gill-attachment	gill-spacing	gill-size	gill-color	stalk-shape	stalk-root	stalk-surface-above-ring	stalk-surface-below-ring		stalk-color-above-ring	veil-type	veil-color	ring-number	ring-type	spore-print-color	population	habitat	class
x	s	n	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	s	u	true
x	s	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	g	false
b	s	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	m	false
x	y	w	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	k	s	u	true
x	s	g	f	n	f	w	b	k	t	e	s	s	w	w	p	w	o	e	n	a	g	false
x	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	g	false
b	s	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	n	m	false
b	y	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	m	false
x	y	w	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	k	v	g	true
b	s	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	m	false
x	y	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	s	m	false
b	s	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	y	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	v	u	true
x	f	n	f	n	f	w	b	n	t	e	s	f	w	w	p	w	o	e	k	a	g	false
s	f	g	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	y	u	false
f	f	w	f	n	f	w	b	k	t	e	s	s	w	w	p	w	o	e	n	a	g	false
x	s	n	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	k	s	g	true
x	y	w	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	s	u	true
x	s	n	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	s	u	true
b	s	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	s	m	false
x	y	n	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	v	g	true
b	y	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	s	m	false
b	y	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	m	false
b	s	w	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	m	false
f	s	w	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	v	g	true
x	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	m	false
