cap-shape	cap-surface	cap-color	bruises?	odor	gill-attachment	gill-spacing	gill-size	gill-color	stalk-shape	stalk-root	stalk-surface-above-ring	stalk-surface-below-ring		stalk-color-above-ring	veil-type	veil-color	ring-number	ring-type	spore-print-color	population	habitat	Class
"sx"	"ss"	"sn"	"st"	"sp"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"su"	true
"sx"	"ss"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sg"	false
"sb"	"ss"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sm"	false
"sx"	"sy"	"sw"	"st"	"sp"	"sf"	"sc"	"sn"	"sn"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"su"	true
"sx"	"ss"	"sg"	"sf"	"sn"	"sf"	"sw"	"sb"	"sk"	"st"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sn"	"sa"	"sg"	false
"sx"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sg"	false
"sb"	"ss"	"sw"	"st"	"sa"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sm"	false
"sb"	"sy"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sm"	false
"sx"	"sy"	"sw"	"st"	"sp"	"sf"	"sc"	"sn"	"sp"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sv"	"sg"	true
"sb"	"ss"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sm"	false
"sx"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sg"	false
"sx"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sm"	false
"sb"	"ss"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sw"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sg"	false
"sx"	"sy"	"sw"	"st"	"sp"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"su"	true
"sx"	"sf"	"sn"	"sf"	"sn"	"sf"	"sw"	"sb"	"sn"	"st"	"se"	"ss"	"sf"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sk"	"sa"	"sg"	false
"ss"	"sf"	"sg"	"sf"	"sn"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sy"	"su"	false
"sf"	"sf"	"sw"	"sf"	"sn"	"sf"	"sw"	"sb"	"sk"	"st"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sn"	"sa"	"sg"	false
"sx"	"ss"	"sn"	"st"	"sp"	"sf"	"sc"	"sn"	"sn"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sg"	true
"sx"	"sy"	"sw"	"st"	"sp"	"sf"	"sc"	"sn"	"sn"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"su"	true
"sx"	"ss"	"sn"	"st"	"sp"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"su"	true
"sb"	"ss"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sm"	false
"sx"	"sy"	"sn"	"st"	"sp"	"sf"	"sc"	"sn"	"sn"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"sg"	true
"sb"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sm"	false
"sb"	"sy"	"sw"	"st"	"sa"	"sf"	"sc"	"sb"	"sw"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sm"	false
"sb"	"ss"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sm"	false
"sf"	"ss"	"sw"	"st"	"sp"	"sf"	"sc"	"sn"	"sn"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"sg"	true
