%
% ARFF data file, generated by KNIME
%
% Date: Thu Jun 22 13:06:10 CEST 2017
% User: guillaume
%

@RELATION DataTable
@ATTRIBUTE parents	{usual,pretentious,great-pret}
@ATTRIBUTE has-nurs	{proper,less-proper,improper,critical,very-crit}
@ATTRIBUTE form	{complete,completed,incomplete,foster}
@ATTRIBUTE children	INTEGER
@ATTRIBUTE housing	{convenient,less-conv,critical}
@ATTRIBUTE finance	{convenient,inconv}
@ATTRIBUTE social	{nonprob,slightly-prob,problematic}
@ATTRIBUTE health	{recommended,priority,not-recom}
@ATTRIBUTE Class	{false,cortana}

@DATA
usual,proper,complete,1,convenient,convenient,nonprob,recommended,false
usual,proper,complete,1,convenient,convenient,nonprob,priority,cortana
usual,proper,complete,1,convenient,convenient,nonprob,not-recom,false
usual,proper,complete,1,convenient,convenient,slightly-prob,recommended,false
usual,proper,complete,1,convenient,convenient,slightly-prob,priority,cortana
usual,proper,complete,1,convenient,convenient,slightly-prob,not-recom,false
usual,proper,complete,1,convenient,convenient,problematic,recommended,cortana
usual,proper,complete,1,convenient,convenient,problematic,priority,cortana
usual,proper,complete,1,convenient,convenient,problematic,not-recom,false
usual,proper,complete,1,convenient,inconv,nonprob,recommended,false
usual,proper,complete,1,convenient,inconv,nonprob,priority,cortana
usual,proper,complete,1,convenient,inconv,nonprob,not-recom,false
usual,proper,complete,1,convenient,inconv,slightly-prob,recommended,false
usual,proper,complete,1,convenient,inconv,slightly-prob,priority,cortana
usual,proper,complete,1,convenient,inconv,slightly-prob,not-recom,false
usual,proper,complete,1,convenient,inconv,problematic,recommended,cortana
usual,proper,complete,1,convenient,inconv,problematic,priority,cortana
usual,proper,complete,1,convenient,inconv,problematic,not-recom,false
usual,proper,complete,1,less-conv,convenient,nonprob,recommended,false
usual,proper,complete,1,less-conv,convenient,nonprob,priority,cortana
usual,proper,complete,1,less-conv,convenient,nonprob,not-recom,false
usual,proper,complete,1,less-conv,convenient,slightly-prob,recommended,false
usual,proper,complete,1,less-conv,convenient,slightly-prob,priority,cortana
usual,proper,complete,1,less-conv,convenient,slightly-prob,not-recom,false
usual,proper,complete,1,less-conv,convenient,problematic,recommended,cortana
usual,proper,complete,1,less-conv,convenient,problematic,priority,cortana
usual,proper,complete,1,less-conv,convenient,problematic,not-recom,false
usual,proper,complete,1,less-conv,inconv,nonprob,recommended,false
usual,proper,complete,1,less-conv,inconv,nonprob,priority,cortana
usual,proper,complete,1,less-conv,inconv,nonprob,not-recom,false
usual,proper,complete,1,less-conv,inconv,slightly-prob,recommended,false
