parents	has-nurs	form	children	housing	finance	social	health	class
usual	proper	complete	1	convenient	convenient	nonprob	recommended	false
usual	proper	complete	1	convenient	convenient	nonprob	priority	true
usual	proper	complete	1	convenient	convenient	nonprob	not-recom	false
usual	proper	complete	1	convenient	convenient	slightly-prob	recommended	false
usual	proper	complete	1	convenient	convenient	slightly-prob	priority	true
usual	proper	complete	1	convenient	convenient	slightly-prob	not-recom	false
usual	proper	complete	1	convenient	convenient	problematic	recommended	true
usual	proper	complete	1	convenient	convenient	problematic	priority	true
usual	proper	complete	1	convenient	convenient	problematic	not-recom	false
usual	proper	complete	1	convenient	inconv	nonprob	recommended	false
usual	proper	complete	1	convenient	inconv	nonprob	priority	true
usual	proper	complete	1	convenient	inconv	nonprob	not-recom	false
usual	proper	complete	1	convenient	inconv	slightly-prob	recommended	false
usual	proper	complete	1	convenient	inconv	slightly-prob	priority	true
usual	proper	complete	1	convenient	inconv	slightly-prob	not-recom	false
usual	proper	complete	1	convenient	inconv	problematic	recommended	true
usual	proper	complete	1	convenient	inconv	problematic	priority	true
usual	proper	complete	1	convenient	inconv	problematic	not-recom	false
usual	proper	complete	1	less-conv	convenient	nonprob	recommended	false
usual	proper	complete	1	less-conv	convenient	nonprob	priority	true
usual	proper	complete	1	less-conv	convenient	nonprob	not-recom	false
usual	proper	complete	1	less-conv	convenient	slightly-prob	recommended	false
usual	proper	complete	1	less-conv	convenient	slightly-prob	priority	true
usual	proper	complete	1	less-conv	convenient	slightly-prob	not-recom	false
usual	proper	complete	1	less-conv	convenient	problematic	recommended	true
usual	proper	complete	1	less-conv	convenient	problematic	priority	true
usual	proper	complete	1	less-conv	convenient	problematic	not-recom	false
usual	proper	complete	1	less-conv	inconv	nonprob	recommended	false
usual	proper	complete	1	less-conv	inconv	nonprob	priority	true
usual	proper	complete	1	less-conv	inconv	nonprob	not-recom	false
usual	proper	complete	1	less-conv	inconv	slightly-prob	recommended	false
usual	proper	complete	1	less-conv	inconv	slightly-prob	priority	true
usual	proper	complete	1	less-conv	inconv	slightly-prob	not-recom	false
usual	proper	complete	1	less-conv	inconv	problematic	recommended	true
usual	proper	complete	1	less-conv	inconv	problematic	priority	true
usual	proper	complete	1	less-conv	inconv	problematic	not-recom	false
usual	proper	complete	1	critical	convenient	nonprob	recommended	false
usual	proper	complete	1	critical	convenient	nonprob	priority	true
usual	proper	complete	1	critical	convenient	nonprob	not-recom	false
usual	proper	complete	1	critical	convenient	slightly-prob	recommended	false
usual	proper	complete	1	critical	convenient	slightly-prob	priority	true
usual	proper	complete	1	critical	convenient	slightly-prob	not-recom	false
usual	proper	complete	1	critical	convenient	problematic	recommended	true
usual	proper	complete	1	critical	convenient	problematic	priority	true
usual	proper	complete	1	critical	convenient	problematic	not-recom	false
usual	proper	complete	1	critical	inconv	nonprob	recommended	false
usual	proper	complete	1	critical	inconv	nonprob	priority	true
usual	proper	complete	1	critical	inconv	nonprob	not-recom	false
usual	proper	complete	1	critical	inconv	slightly-prob	recommended	false
usual	proper	complete	1	critical	inconv	slightly-prob	priority	true
usual	proper	complete	1	critical	inconv	slightly-prob	not-recom	false
usual	proper	complete	1	critical	inconv	problematic	recommended	true
usual	proper	complete	1	critical	inconv	problematic	priority	true
usual	proper	complete	1	critical	inconv	problematic	not-recom	false
usual	proper	complete	2	convenient	convenient	nonprob	recommended	false
usual	proper	complete	2	convenient	convenient	nonprob	priority	true
usual	proper	complete	2	convenient	convenient	nonprob	not-recom	false
usual	proper	complete	2	convenient	convenient	slightly-prob	recommended	false
usual	proper	complete	2	convenient	convenient	slightly-prob	priority	true
usual	proper	complete	2	convenient	convenient	slightly-prob	not-recom	false
usual	proper	complete	2	convenient	convenient	problematic	recommended	true
usual	proper	complete	2	convenient	convenient	problematic	priority	true
usual	proper	complete	2	convenient	convenient	problematic	not-recom	false
usual	proper	complete	2	convenient	inconv	nonprob	recommended	false
usual	proper	complete	2	convenient	inconv	nonprob	priority	true
usual	proper	complete	2	convenient	inconv	nonprob	not-recom	false
usual	proper	complete	2	convenient	inconv	slightly-prob	recommended	false
usual	proper	complete	2	convenient	inconv	slightly-prob	priority	true
usual	proper	complete	2	convenient	inconv	slightly-prob	not-recom	false
usual	proper	complete	2	convenient	inconv	problematic	recommended	true
usual	proper	complete	2	convenient	inconv	problematic	priority	true
usual	proper	complete	2	convenient	inconv	problematic	not-recom	false
usual	proper	complete	2	less-conv	convenient	nonprob	recommended	false
usual	proper	complete	2	less-conv	convenient	nonprob	priority	true
usual	proper	complete	2	less-conv	convenient	nonprob	not-recom	false
usual	proper	complete	2	less-conv	convenient	slightly-prob	recommended	false
usual	proper	complete	2	less-conv	convenient	slightly-prob	priority	true
usual	proper	complete	2	less-conv	convenient	slightly-prob	not-recom	false
usual	proper	complete	2	less-conv	convenient	problematic	recommended	true
usual	proper	complete	2	less-conv	convenient	problematic	priority	true
usual	proper	complete	2	less-conv	convenient	problematic	not-recom	false
usual	proper	complete	2	less-conv	inconv	nonprob	recommended	false
usual	proper	complete	2	less-conv	inconv	nonprob	priority	true
usual	proper	complete	2	less-conv	inconv	nonprob	not-recom	false
usual	proper	complete	2	less-conv	inconv	slightly-prob	recommended	false
usual	proper	complete	2	less-conv	inconv	slightly-prob	priority	true
usual	proper	complete	2	less-conv	inconv	slightly-prob	not-recom	false
usual	proper	complete	2	less-conv	inconv	problematic	recommended	true
usual	proper	complete	2	less-conv	inconv	problematic	priority	true
usual	proper	complete	2	less-conv	inconv	problematic	not-recom	false
usual	proper	complete	2	critical	convenient	nonprob	recommended	true
usual	proper	complete	2	critical	convenient	nonprob	priority	true
usual	proper	complete	2	critical	convenient	nonprob	not-recom	false
usual	proper	complete	2	critical	convenient	slightly-prob	recommended	true
usual	proper	complete	2	critical	convenient	slightly-prob	priority	true
usual	proper	complete	2	critical	convenient	slightly-prob	not-recom	false
usual	proper	complete	2	critical	convenient	problematic	recommended	true
usual	proper	complete	2	critical	convenient	problematic	priority	true
usual	proper	complete	2	critical	convenient	problematic	not-recom	false
usual	proper	complete	2	critical	inconv	nonprob	recommended	true
usual	proper	complete	2	critical	inconv	nonprob	priority	true
usual	proper	complete	2	critical	inconv	nonprob	not-recom	false
usual	proper	complete	2	critical	inconv	slightly-prob	recommended	true
usual	proper	complete	2	critical	inconv	slightly-prob	priority	true
usual	proper	complete	2	critical	inconv	slightly-prob	not-recom	false
usual	proper	complete	2	critical	inconv	problematic	recommended	true
usual	proper	complete	2	critical	inconv	problematic	priority	true
usual	proper	complete	2	critical	inconv	problematic	not-recom	false
usual	proper	complete	3	convenient	convenient	nonprob	recommended	false
