class=priority	class=not-recom	class=recommend	class=very-recom	class=spec-prior
0	0	1	0	0
1	0	0	0	0
0	1	0	0	0
0	0	1	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
