parents	has-nurs	form	children	housing	finance	social	health	Class
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sconvenient"	"snonprob"	"srecommended"	false
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sconvenient"	"snonprob"	"spriority"	true
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sconvenient"	"snonprob"	"snot-recom"	false
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sconvenient"	"sslightly-prob"	"srecommended"	false
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sconvenient"	"sslightly-prob"	"spriority"	true
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sconvenient"	"sslightly-prob"	"snot-recom"	false
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sconvenient"	"sproblematic"	"srecommended"	true
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sconvenient"	"sproblematic"	"spriority"	true
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sconvenient"	"sproblematic"	"snot-recom"	false
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sinconv"	"snonprob"	"srecommended"	false
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sinconv"	"snonprob"	"spriority"	true
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sinconv"	"snonprob"	"snot-recom"	false
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sinconv"	"sslightly-prob"	"srecommended"	false
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sinconv"	"sslightly-prob"	"spriority"	true
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sinconv"	"sslightly-prob"	"snot-recom"	false
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sinconv"	"sproblematic"	"srecommended"	true
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sinconv"	"sproblematic"	"spriority"	true
"susual"	"sproper"	"scomplete"	"s1"	"sconvenient"	"sinconv"	"sproblematic"	"snot-recom"	false
"susual"	"sproper"	"scomplete"	"s1"	"sless-conv"	"sconvenient"	"snonprob"	"srecommended"	false
"susual"	"sproper"	"scomplete"	"s1"	"sless-conv"	"sconvenient"	"snonprob"	"spriority"	true
