%
% ARFF data file, generated by KNIME
%
% Date: Thu Jun 22 13:08:49 CEST 2017
% User: guillaume
%

@RELATION DataTable
@ATTRIBUTE "top-left-square"	{"x","o","b"}
@ATTRIBUTE "top-middle-square"	{"x","o","b"}
@ATTRIBUTE "top-right-square"	{"x","o","b"}
@ATTRIBUTE "middle-left-square"	{"x","o","b"}
@ATTRIBUTE "middle-middle-square"	{"o","b","x"}
@ATTRIBUTE "middle-right-square"	{"o","b","x"}
@ATTRIBUTE "bottom-left-square"	{"x","o","b"}
@ATTRIBUTE "bottom-middle-square"	{"o","x","b"}
@ATTRIBUTE "bottom-right-square"	{"o","x","b"}
@ATTRIBUTE Class	{cortana,false}

@DATA
"x","x","x","x","o","o","x","o","o",cortana
"x","x","x","x","o","o","o","x","o",cortana
"x","x","x","x","o","o","o","o","x",cortana
"x","x","x","x","o","o","o","b","b",cortana
"x","x","x","x","o","o","b","o","b",cortana
"x","x","x","x","o","o","b","b","o",cortana
"x","x","x","x","o","b","o","o","b",cortana
"x","x","x","x","o","b","o","b","o",cortana
"x","x","x","x","o","b","b","o","o",cortana
"x","x","x","x","b","o","o","o","b",cortana
"x","x","x","x","b","o","o","b","o",cortana
"x","x","x","x","b","o","b","o","o",cortana
"x","x","x","o","x","o","x","o","o",cortana
"x","x","x","o","x","o","o","x","o",cortana
"x","x","x","o","x","o","o","o","x",cortana
"x","x","x","o","x","o","o","b","b",cortana
"x","x","x","o","x","o","b","o","b",cortana
"x","x","x","o","x","o","b","b","o",cortana
"x","x","x","o","x","b","o","o","b",cortana
"x","x","x","o","x","b","o","b","o",cortana
"x","x","x","o","x","b","b","o","o",cortana
"x","x","x","o","o","x","x","o","o",cortana
"x","x","x","o","o","x","o","x","o",cortana
"x","x","x","o","o","x","o","o","x",cortana
"x","x","x","o","o","x","o","b","b",cortana
"x","x","x","o","o","x","b","o","b",cortana
"x","x","x","o","o","x","b","b","o",cortana
"x","x","x","o","o","b","x","o","b",cortana
"x","x","x","o","o","b","x","b","o",cortana
"x","x","x","o","o","b","o","x","b",cortana
"x","x","x","o","o","b","o","b","x",cortana
"x","x","x","o","o","b","b","x","o",cortana
"x","x","x","o","o","b","b","o","x",cortana
"x","x","x","o","o","b","b","b","b",cortana
"x","x","x","o","b","x","o","o","b",cortana
"x","x","x","o","b","x","o","b","o",cortana
"x","x","x","o","b","x","b","o","o",cortana
"x","x","x","o","b","o","x","o","b",cortana
"x","x","x","o","b","o","x","b","o",cortana
"x","x","x","o","b","o","o","x","b",cortana
"x","x","x","o","b","o","o","b","x",cortana
"x","x","x","o","b","o","b","x","o",cortana
"x","x","x","o","b","o","b","o","x",cortana
"x","x","x","o","b","o","b","b","b",cortana
"x","x","x","o","b","b","x","o","o",cortana
"x","x","x","o","b","b","o","x","o",cortana
"x","x","x","o","b","b","o","o","x",cortana
"x","x","x","o","b","b","o","b","b",cortana
"x","x","x","o","b","b","b","o","b",cortana
"x","x","x","o","b","b","b","b","o",cortana
"x","x","x","b","x","o","o","o","b",cortana
"x","x","x","b","x","o","o","b","o",cortana
"x","x","x","b","x","o","b","o","o",cortana
"x","x","x","b","o","x","o","o","b",cortana
"x","x","x","b","o","x","o","b","o",cortana
"x","x","x","b","o","x","b","o","o",cortana
"x","x","x","b","o","o","x","o","b",cortana
"x","x","x","b","o","o","x","b","o",cortana
"x","x","x","b","o","o","o","x","b",cortana
"x","x","x","b","o","o","o","b","x",cortana
