"top-left-square"	"top-middle-square"	"top-right-square"	"middle-left-square"	"middle-middle-square"	"middle-right-square"	"bottom-left-square"	"bottom-middle-square"	"bottom-right-square"	Class
"s"x""	"s"x""	"s"x""	"s"x""	"s"o""	"s"o""	"s"x""	"s"o""	"s"o""	true
"s"x""	"s"x""	"s"x""	"s"x""	"s"o""	"s"o""	"s"o""	"s"x""	"s"o""	true
"s"x""	"s"x""	"s"x""	"s"x""	"s"o""	"s"o""	"s"o""	"s"o""	"s"x""	true
"s"x""	"s"x""	"s"x""	"s"x""	"s"o""	"s"o""	"s"o""	"s"b""	"s"b""	true
"s"x""	"s"x""	"s"x""	"s"x""	"s"o""	"s"o""	"s"b""	"s"o""	"s"b""	true
"s"x""	"s"x""	"s"x""	"s"x""	"s"o""	"s"o""	"s"b""	"s"b""	"s"o""	true
"s"x""	"s"x""	"s"x""	"s"x""	"s"o""	"s"b""	"s"o""	"s"o""	"s"b""	true
"s"x""	"s"x""	"s"x""	"s"x""	"s"o""	"s"b""	"s"o""	"s"b""	"s"o""	true
"s"x""	"s"x""	"s"x""	"s"x""	"s"o""	"s"b""	"s"b""	"s"o""	"s"o""	true
"s"x""	"s"x""	"s"x""	"s"x""	"s"b""	"s"o""	"s"o""	"s"o""	"s"b""	true
"s"x""	"s"x""	"s"x""	"s"x""	"s"b""	"s"o""	"s"o""	"s"b""	"s"o""	true
"s"x""	"s"x""	"s"x""	"s"x""	"s"b""	"s"o""	"s"b""	"s"o""	"s"o""	true
"s"x""	"s"x""	"s"x""	"s"o""	"s"x""	"s"o""	"s"x""	"s"o""	"s"o""	true
"s"x""	"s"x""	"s"x""	"s"o""	"s"x""	"s"o""	"s"o""	"s"x""	"s"o""	true
"s"x""	"s"x""	"s"x""	"s"o""	"s"x""	"s"o""	"s"o""	"s"o""	"s"x""	true
"s"x""	"s"x""	"s"x""	"s"o""	"s"x""	"s"o""	"s"o""	"s"b""	"s"b""	true
"s"x""	"s"x""	"s"x""	"s"o""	"s"x""	"s"o""	"s"b""	"s"o""	"s"b""	true
"s"x""	"s"x""	"s"x""	"s"o""	"s"x""	"s"o""	"s"b""	"s"b""	"s"o""	true
"s"x""	"s"x""	"s"x""	"s"o""	"s"x""	"s"b""	"s"o""	"s"o""	"s"b""	true
"s"x""	"s"x""	"s"x""	"s"o""	"s"x""	"s"b""	"s"o""	"s"b""	"s"o""	true
"s"x""	"s"x""	"s"x""	"s"o""	"s"x""	"s"b""	"s"b""	"s"o""	"s"o""	true
