Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Att23	Att24	Att25	Att26	Att27	Att28	Att29	Att30	Att31	Att32	Att33	Att34	Att35	Att36	Att37	Att38	Att39	Att40	Att41	Att42	Att43	Att44	Att45	Att46	Att47	Att48	Att49	Att50	Att51	Att52	Att53	Att54	Att55	Att56	Att57	Att58	Att59	Att60	Att61	Att62	Att63	Att64	Att65	Att66	Att67	Att68	Att69	Att70	Att71	Att72	Att73	Att74	Att75	Att76	Att77	Att78	Att79	Att80	Att81	Att82	Att83	Att84	Att85	Att86	Att87	Att88	Att89	Att90	Att91	Att92	Att93	Att94	Att95	Att96	Att97	Att98	Att99	Att100	Att101	Att102	Att103	Class
"s0.004168"	"s-0.170975"	"s-0.156748"	"s-0.142151"	"s0.058781"	"s0.026851"	"s0.197719"	"s0.04185"	"s0.066938"	"s-0.056617"	"s-0.02723"	"s-0.137411"	"s0.067776"	"s0.047175"	"s0.155671"	"s0.050766"	"s0.102557"	"s-0.020259"	"s-0.200512"	"s-0.095371"	"s-0.08194"	"s-0.103735"	"s0.093299"	"s0.105475"	"s0.14856"	"s0.085925"	"s0.107879"	"s0.108075"	"s0.085388"	"s0.124026"	"s-0.00365"	"s-0.127376"	"s0.039394"	"s-0.018364"	"s0.050378"	"s0.15719"	"s0.203563"	"s0.111552"	"s0.017907"	"s-0.001126"	"s0.053062"	"s0.140708"	"s0.137118"	"s-0.090282"	"s-0.067809"	"s-0.102396"	"s-0.051758"	"s0.050665"	"s0.007055"	"s0.021674"	"s0.061283"	"s0.083523"	"s0.053235"	"s0.001978"	"s0.077418"	"s0.046762"	"s-0.07573"	"s-0.092787"	"s0.127297"	"s-0.178029"	"s-0.202705"	"s-0.028543"	"s0.032891"	"s0.023189"	"s0.009716"	"s-0.169848"	"s-0.002261"	"s-0.133029"	"s0.082378"	"s-0.21661"	"s0.062425"	"s-0.128243"	"s0.203676"	"s0.143642"	"s0.178602"	"s0.192041"	"s0.154135"	"s-0.175325"	"s-0.133636"	"s0.005524"	"s-0.014981"	"s-0.031946"	"s-0.015114"	"s-0.047175"	"s0.003829"	"s0.010967"	"s-0.006062"	"s-0.02756"	"s-0.019866"	"s-0.024046"	"s-0.025153"	"s-0.009261"	"s-0.025539"	"s0.006166"	"s-0.012976"	"s-0.014259"	"s-0.015024"	"s-0.010747"	"s4.11E-4"	"s-0.032056"	"s-0.018312"	"s0.030126"	"s0.124722"	false
"s-0.103956"	"s0.011879"	"s-0.098986"	"s-0.054501"	"s-0.00797"	"s0.049113"	"s-0.03058"	"s-0.077933"	"s-0.080529"	"s-0.016267"	"s-0.215304"	"s-0.009885"	"s-0.155843"	"s-0.059522"	"s-0.098836"	"s-0.071141"	"s-0.023494"	"s-0.0712"	"s0.027767"	"s0.003091"	"s-0.003761"	"s0.0746"	"s0.05308"	"s-0.008138"	"s0.001794"	"s-0.111704"	"s-0.140291"	"s-0.063347"	"s0.066767"	"s-0.167073"	"s-0.095567"	"s-0.047209"	"s0.082206"	"s0.144445"	"s0.086581"	"s-0.11185"	"s-0.08656"	"s0.024942"	"s-0.131539"	"s0.080062"	"s0.345095"	"s-0.090835"	"s-0.072651"	"s0.045934"	"s0.016653"	"s-0.09112"	"s0.024707"	"s-0.058299"	"s0.02721"	"s0.004696"	"s0.013844"	"s0.043541"	"s0.044008"	"s0.03648"	"s0.039348"	"s-0.046261"	"s0.025664"	"s0.016511"	"s0.043803"	"s0.019016"	"s-0.018508"	"s-0.042825"	"s-0.127017"	"s0.383213"	"s0.027688"	"s0.179844"	"s-0.019807"	"s0.031726"	"s-0.086455"	"s0.157766"	"s-0.016577"	"s0.028003"	"s-0.042753"	"s-0.083054"	"s-0.035512"	"s-0.008779"	"s-0.050616"	"s-0.001249"	"s-0.020209"	"s-0.077359"	"s-0.045139"	"s-0.074738"	"s0.051846"	"s0.009323"	"s0.184332"	"s0.420424"	"s-0.090224"	"s-0.090718"	"s-0.035266"	"s-0.046729"	"s5.75E-4"	"s-0.066023"	"s-0.051916"	"s0.00768"	"s0.027719"	"s-0.085811"	"s0.111123"	"s0.050541"	"s0.027565"	"s-0.063569"	"s-0.041471"	"s-0.079758"	"s0.017161"	false
"s0.509949"	"s0.401709"	"s0.293799"	"s0.087714"	"s0.011686"	"s-0.006411"	"s-0.006255"	"s0.013646"	"s-0.040666"	"s-0.024447"	"s-0.040576"	"s0.014326"	"s-0.074968"	"s0.141365"	"s-0.015182"	"s0.013691"	"s0.006893"	"s0.003736"	"s-0.020726"	"s-0.044104"	"s-0.052959"	"s-0.085572"	"s-0.061547"	"s-0.029578"	"s0.0277"	"s-0.09431"	"s-0.047721"	"s-0.081589"	"s-0.022846"	"s-0.106684"	"s-0.068873"	"s-0.105225"	"s-0.065414"	"s-0.047722"	"s-0.070723"	"s-0.057425"	"s-0.042024"	"s-0.034122"	"s-0.049606"	"s0.015137"	"s-0.091978"	"s-0.057454"	"s0.039602"	"s0.028388"	"s-0.068859"	"s-0.027863"	"s-0.061797"	"s-0.059999"	"s-0.033393"	"s0.017728"	"s0.097745"	"s0.039449"	"s0.041347"	"s-0.083136"	"s0.052164"	"s8.1E-4"	"s0.018361"	"s0.03783"	"s-0.029845"	"s-0.031345"	"s0.026966"	"s0.051128"	"s-0.015953"	"s-0.002294"	"s-0.046697"	"s-5.0E-4"	"s0.034184"	"s-0.033345"	"s-0.00707"	"s-0.002837"	"s0.001422"	"s0.005147"	"s-0.138257"	"s-0.096135"	"s-0.055102"	"s8.3E-4"	"s-0.047025"	"s-0.002432"	"s0.001711"	"s-0.083572"	"s-0.096943"	"s0.148457"	"s-0.007413"	"s0.130691"	"s-0.032325"	"s0.028612"	"s-0.023051"	"s-0.092214"	"s-0.103336"	"s0.138232"	"s-0.100351"	"s0.140423"	"s0.110074"	"s0.096277"	"s-0.044932"	"s-0.08947"	"s-0.009162"	"s-0.01201"	"s0.308378"	"s-0.028053"	"s0.02671"	"s-0.066565"	"s-0.122352"	false
"s0.119092"	"s0.004412"	"s-0.002262"	"s0.072254"	"s0.044512"	"s-0.051467"	"s0.074686"	"s-0.00767"	"s0.079438"	"s0.062184"	"s-0.013027"	"s0.045538"	"s0.080412"	"s-0.010042"	"s0.013029"	"s-0.071975"	"s0.089818"	"s-0.016129"	"s0.033105"	"s0.024275"	"s0.040428"	"s0.064248"	"s0.225613"	"s0.176576"	"s0.015501"	"s0.009491"	"s-0.013684"	"s-0.017633"	"s0.085007"	"s-0.056274"	"s-0.088925"	"s-0.062951"	"s0.227151"	"s0.165897"	"s0.150224"	"s0.065105"	"s0.110891"	"s0.048451"	"s0.114726"	"s0.020393"	"s0.025997"	"s0.060515"	"s0.072422"	"s-0.128881"	"s0.039636"	"s-0.016252"	"s0.058923"	"s-0.049495"	"s-0.091221"	"s0.016999"	"s-0.055619"	"s-0.043654"	"s-0.083105"	"s-0.045546"	"s-0.09986"	"s-0.078093"	"s-0.192852"	"s-0.089999"	"s-0.024671"	"s-0.126046"	"s0.052497"	"s-0.092266"	"s-0.090488"	"s0.041994"	"s0.021031"	"s0.069224"	"s-0.098074"	"s-0.098434"	"s0.014228"	"s0.114669"	"s0.164518"	"s0.101039"	"s0.060494"	"s-0.020581"	"s-0.101576"	"s-0.045215"	"s-0.087017"	"s-0.111806"	"s-0.154732"	"s0.302807"	"s0.340027"	"s-0.093332"	"s-0.057848"	"s-0.010558"	"s-0.039194"	"s-0.041628"	"s-0.077455"	"s-0.008553"	"s-0.022404"	"s-0.106131"	"s-0.103067"	"s-0.083059"	"s-0.089064"	"s-0.083809"	"s0.200354"	"s-0.075716"	"s0.196605"	"s0.152758"	"s-0.028484"	"s-0.074207"	"s-0.089227"	"s-0.049913"	"s-0.043893"	false
"s0.042037"	"s0.007054"	"s-0.069483"	"s0.081015"	"s-0.048207"	"s0.089446"	"s-0.004947"	"s0.064456"	"s-0.133387"	"s0.068878"	"s-0.139371"	"s0.041487"	"s-0.058531"	"s0.021264"	"s-0.101382"	"s0.021015"	"s0.096572"	"s-0.005136"	"s0.111104"	"s-0.008323"	"s0.02021"	"s-0.003967"	"s0.039762"	"s0.006744"	"s-0.04173"	"s-0.174533"	"s-0.101343"	"s-0.115674"	"s0.328511"	"s-0.108945"	"s-0.160748"	"s-0.12029"	"s-0.148308"	"s-0.082882"	"s-0.127218"	"s-0.167186"	"s-0.14321"	"s-0.118028"	"s-0.297516"	"s-0.160082"	"s0.046987"	"s-0.023794"	"s-0.123336"	"s-0.071192"	"s-0.161773"	"s-0.159971"	"s-0.118573"	"s-0.094708"	"s0.021561"	"s0.018012"	"s0.067262"	"s0.078209"	"s0.040831"	"s-0.047518"	"s0.052238"	"s0.015478"	"s0.065499"	"s0.083426"	"s0.155718"	"s0.066596"	"s0.106298"	"s0.092366"	"s0.069543"	"s0.161903"	"s-0.141936"	"s0.0347"	"s-0.078012"	"s0.032215"	"s0.089776"	"s0.117962"	"s0.169422"	"s0.115342"	"s-0.089155"	"s-0.072678"	"s-0.015655"	"s0.069825"	"s0.039744"	"s0.108388"	"s0.095516"	"s0.015942"	"s0.087354"	"s0.176911"	"s-0.062311"	"s0.117205"	"s-0.048277"	"s-0.053679"	"s0.01485"	"s-0.066453"	"s-0.067962"	"s-0.083653"	"s-0.08113"	"s-0.061469"	"s0.023662"	"s-0.060467"	"s0.044351"	"s-0.057209"	"s0.028047"	"s0.029661"	"s-0.050026"	"s0.023248"	"s-0.061539"	"s-0.03516"	"s0.067834"	false
"s0.003286"	"s-0.023601"	"s-0.023104"	"s-0.064171"	"s-0.017719"	"s-0.11351"	"s-0.035212"	"s-0.077675"	"s-0.024348"	"s-0.012458"	"s0.013203"	"s-0.033329"	"s0.047343"	"s0.03111"	"s0.066102"	"s-0.021335"	"s0.089228"	"s-0.013806"	"s0.030922"	"s0.021081"	"s0.08605"	"s-0.007688"	"s-0.003909"	"s0.023979"	"s-0.011401"	"s0.037614"	"s0.122546"	"s0.074082"	"s0.04591"	"s0.124436"	"s0.124325"	"s0.132139"	"s-0.061852"	"s-0.174536"	"s-0.184804"	"s-0.08282"	"s0.006521"	"s-0.003643"	"s-0.014628"	"s-0.026703"	"s-0.032888"	"s0.024425"	"s0.054528"	"s-0.101401"	"s0.014606"	"s0.026646"	"s0.037999"	"s-0.019444"	"s-0.013074"	"s-0.064601"	"s-0.081504"	"s-0.071366"	"s-0.035875"	"s0.10198"	"s-0.09156"	"s0.017506"	"s-0.025028"	"s-0.048594"	"s-0.017611"	"s0.059662"	"s-0.006563"	"s-0.007014"	"s0.028528"	"s-0.082346"	"s0.30938"	"s0.271756"	"s0.324673"	"s0.267579"	"s-0.093078"	"s-0.146587"	"s-0.124777"	"s-0.231879"	"s0.003766"	"s0.007124"	"s0.052473"	"s0.074151"	"s0.074014"	"s0.026689"	"s0.028306"	"s-0.022753"	"s-0.029017"	"s0.001257"	"s-0.162765"	"s0.095942"	"s0.170988"	"s0.183442"	"s-0.050507"	"s-0.018859"	"s-0.136377"	"s0.116337"	"s0.111394"	"s-0.180056"	"s-0.036899"	"s-0.20002"	"s-0.052056"	"s0.012218"	"s-0.038346"	"s-0.046463"	"s0.114204"	"s0.125139"	"s-0.0126"	"s0.105835"	"s-0.00144"	false
"s0.076606"	"s-0.025478"	"s0.072419"	"s-0.065383"	"s0.123539"	"s0.12013"	"s0.102248"	"s0.008324"	"s0.094147"	"s-0.014666"	"s0.159352"	"s-0.005371"	"s0.071226"	"s0.110422"	"s0.17914"	"s0.06219"	"s0.109197"	"s-0.141429"	"s-0.179729"	"s-0.035018"	"s-0.013449"	"s0.009843"	"s0.096399"	"s0.020458"	"s0.055086"	"s0.004566"	"s-0.056574"	"s0.015194"	"s-0.038159"	"s-0.047149"	"s-0.053226"	"s-0.012198"	"s0.045641"	"s0.049025"	"s0.074069"	"s0.06395"	"s0.079691"	"s0.026329"	"s0.009623"	"s0.17336"	"s-0.051999"	"s-0.001445"	"s0.038185"	"s-0.181"	"s-0.050994"	"s-0.116329"	"s-0.085794"	"s-0.003214"	"s-0.010565"	"s0.109443"	"s0.073003"	"s0.03711"	"s0.025515"	"s-0.153793"	"s-0.015796"	"s0.020212"	"s-0.018386"	"s0.082409"	"s0.058881"	"s-0.028625"	"s-0.188271"	"s-0.121936"	"s0.072489"	"s-0.04957"	"s0.169555"	"s-0.085764"	"s0.052756"	"s-0.043803"	"s0.12026"	"s-0.012549"	"s-0.106745"	"s-0.034501"	"s0.087775"	"s0.093431"	"s0.090078"	"s-0.031355"	"s0.011194"	"s-0.209306"	"s-0.180997"	"s0.015614"	"s0.015714"	"s-0.123243"	"s-0.093674"	"s0.198816"	"s-0.100384"	"s-0.106521"	"s0.131097"	"s0.183801"	"s0.243689"	"s0.210307"	"s0.197175"	"s-0.106965"	"s0.0466"	"s-0.109926"	"s0.003302"	"s0.024075"	"s0.039718"	"s0.030025"	"s-0.098264"	"s-0.104963"	"s-0.114448"	"s-0.094395"	"s-0.148318"	true
"s-0.106801"	"s-0.069277"	"s-0.132254"	"s-0.099246"	"s-0.188413"	"s-0.110359"	"s-0.15512"	"s-0.168094"	"s-0.182473"	"s0.023208"	"s-0.130712"	"s-0.079053"	"s-0.171518"	"s-0.064736"	"s-0.153275"	"s-0.070655"	"s0.021343"	"s-0.070272"	"s0.060064"	"s0.067662"	"s0.022577"	"s0.010968"	"s-0.005391"	"s-0.075087"	"s-0.076256"	"s-0.02016"	"s-0.07247"	"s-0.017722"	"s0.016697"	"s-0.054512"	"s-0.003925"	"s0.047992"	"s0.132655"	"s0.119805"	"s0.059088"	"s-0.026662"	"s0.007289"	"s0.017478"	"s0.037296"	"s0.028246"	"s0.022648"	"s0.020323"	"s-0.030252"	"s0.05742"	"s0.030436"	"s-0.051919"	"s-0.027397"	"s-5.18E-4"	"s-0.003431"	"s0.049034"	"s0.166177"	"s0.176017"	"s0.243175"	"s-0.108587"	"s0.257996"	"s0.212199"	"s-0.004107"	"s-0.01827"	"s-0.16166"	"s-0.037524"	"s-0.071472"	"s-0.025932"	"s0.001865"	"s-0.052415"	"s-0.07602"	"s0.027548"	"s0.050457"	"s0.03124"	"s0.102424"	"s-0.048468"	"s-0.085218"	"s-0.025517"	"s0.004446"	"s0.001622"	"s0.026163"	"s-0.174188"	"s-0.060942"	"s0.038233"	"s9.25E-4"	"s-0.076198"	"s-0.021789"	"s0.167004"	"s0.109032"	"s0.074937"	"s0.018825"	"s-0.151933"	"s-0.155029"	"s-0.089821"	"s-0.026713"	"s0.164534"	"s0.172943"	"s0.02273"	"s0.015293"	"s0.185214"	"s-0.084224"	"s-0.123843"	"s0.005166"	"s0.149781"	"s0.09954"	"s-0.145246"	"s-0.030507"	"s-0.160804"	"s-0.045927"	true
"s0.17765"	"s0.136159"	"s0.153211"	"s0.190312"	"s0.158541"	"s0.219521"	"s0.079914"	"s0.232238"	"s0.127932"	"s0.089142"	"s0.214214"	"s0.186596"	"s0.080546"	"s0.214809"	"s0.157049"	"s0.220334"	"s0.103141"	"s0.143783"	"s0.050731"	"s-0.042281"	"s0.017755"	"s-0.022191"	"s-0.035914"	"s-0.052768"	"s-0.029176"	"s-0.086553"	"s-0.04573"	"s-0.08051"	"s-0.090395"	"s-0.067494"	"s-0.051173"	"s-0.013736"	"s0.037043"	"s-0.015615"	"s-0.016112"	"s-9.04E-4"	"s-0.017557"	"s0.034323"	"s0.041121"	"s0.00506"	"s0.004845"	"s0.034218"	"s0.00503"	"s0.093303"	"s0.108699"	"s0.094873"	"s0.113329"	"s-0.03907"	"s-0.040719"	"s-0.048583"	"s-0.060474"	"s-0.043247"	"s-0.059577"	"s-0.024152"	"s-0.047301"	"s-0.015707"	"s-0.070061"	"s-0.033093"	"s-0.098816"	"s-0.024762"	"s-0.100993"	"s-0.041568"	"s-0.064112"	"s-0.078269"	"s-0.11334"	"s-0.031019"	"s-0.354263"	"s0.004667"	"s-0.104765"	"s-0.286221"	"s-0.067996"	"s-0.047794"	"s-3.73E-4"	"s-0.037373"	"s-0.004913"	"s-0.009994"	"s-0.115887"	"s0.014361"	"s0.027029"	"s-0.00948"	"s-0.027829"	"s-0.0428"	"s-0.03046"	"s-0.056851"	"s-0.013668"	"s-0.012081"	"s-0.019658"	"s-0.03622"	"s-0.021501"	"s-0.043937"	"s-0.043592"	"s-0.025531"	"s-0.023776"	"s-0.017603"	"s-0.026542"	"s0.074257"	"s-0.023072"	"s0.003242"	"s0.2522"	"s-0.029461"	"s-0.02624"	"s0.006896"	"s0.078088"	true
"s0.122075"	"s-0.055828"	"s-0.034775"	"s-0.039235"	"s0.075027"	"s0.087308"	"s0.088062"	"s0.122385"	"s0.091848"	"s-0.099132"	"s0.041763"	"s-0.024225"	"s0.118928"	"s0.057956"	"s0.027388"	"s0.163739"	"s-0.015432"	"s-0.008595"	"s-0.086907"	"s-0.093769"	"s-0.078785"	"s0.096019"	"s0.100252"	"s0.008856"	"s-0.04586"	"s-0.087768"	"s-0.106773"	"s-0.053326"	"s-0.058797"	"s-0.196288"	"s-0.104462"	"s-0.150524"	"s0.186878"	"s0.09644"	"s0.13788"	"s0.165071"	"s0.101762"	"s0.05706"	"s-0.022019"	"s-0.025563"	"s0.128242"	"s0.176067"	"s-0.296871"	"s-1.83E-4"	"s0.040811"	"s-0.039195"	"s0.019562"	"s-0.002056"	"s0.060674"	"s0.153336"	"s0.069484"	"s0.021987"	"s-0.048801"	"s-0.166048"	"s-0.074444"	"s-0.106089"	"s-0.045318"	"s0.096766"	"s0.022171"	"s-0.139521"	"s0.025829"	"s-0.074287"	"s0.004542"	"s0.06771"	"s-0.049911"	"s-0.053006"	"s-0.146744"	"s-0.048638"	"s-0.101439"	"s0.131881"	"s-0.041595"	"s0.073726"	"s0.095581"	"s0.072837"	"s-0.031377"	"s-0.13814"	"s-0.074792"	"s-0.003966"	"s-0.153042"	"s-0.06189"	"s-0.066663"	"s0.01897"	"s0.181895"	"s-0.124112"	"s0.217399"	"s0.050713"	"s-0.068185"	"s-0.095511"	"s0.025485"	"s0.14737"	"s0.117484"	"s-0.030877"	"s-0.036756"	"s-0.102717"	"s0.161406"	"s-0.089552"	"s0.077943"	"s-0.093588"	"s-0.016764"	"s-0.069944"	"s-0.105056"	"s-0.08081"	"s0.031019"	false
