iter_0000010	iter_0000050	iter_0000100	iter_0000500	iter_0001000	iter_0005000	iter_0010000	iter_0050000	iter_0100000
3	3	3	2	3	5	5	5	5
4	3	3	4	5	4	4	5	3
4	2	3	2	3	3	3	3	3
1	3	1	5	2	2	1	1	2
5	3	2	3	3	4	1	1	3
5	4	3	2	3	4	3	5	2
4	5	3	3	4	3	3	5	4
3	4	3	3	2	2	5	3	5
2	3	5	5	3	5	5	4	5
3	1	2	5	3	2	3	3	5
3	4	3	4	4	3	4	5	5
1	5	4	3	3	4	5	5	5
1	5	4	5	3	4	3	3	3
2	4	3	3	5	5	2	5	2
3	5	2	5	2	5	5	5	5
5	3	5	3	5	3	3	5	4
3	5	4	5	4	4	4	5	5
4	1	4	3	5	5	5	3	5
1	4	3	5	5	3	5	5	5
1	3	5	3	3	5	5	5	3
3	5	4	5	3	4	3	4	4
4	3	5	4	3	5	5	5	5
4	4	3	3	4	3	3	3	3
4	5	3	3	5	4	1	5	5
3	3	4	3	3	4	3	5	4
1	4	3	5	5	5	5	3	5
2	2	5	4	3	4	4	4	3
1	4	5	5	4	5	5	5	4
4	1	4	5	4	3	3	2	5
4	1	5	2	4	5	5	5	4
1	1	5	5	5	4	4	5	5
1	5	5	2	5	5	5	3	5
1	3	5	4	5	5	4	5	5
1	3	5	5	3	4	5	3	4
4	4	3	4	5	4	5	4	3
4	2	5	5	5	5	5	5	5
5	5	5	4	5	3	4	4	5
4	5	5	3	5	2	4	5	5
5	3	5	5	3	5	2	5	4
m	4	2	3	4	4	5	5	4
m	5	2	5	4	3	5	5	5
m	3	1	3	5	5	4	5	4
m	5	4	5	2	4	5	5	5
m	5	2	3	2	5	4	5	4
m	3	3	5	4	5	5	5	5
m	3	3	5	5	3	5	5	3
m	4	2	4	5	4	5	5	4
m	5	2	4	5	4	5	5	5
m	3	4	5	4	1	3	4	4
m	4	2	4	3	5	5	4	5
m	4	4	5	5	5	4	4	4
m	3	3	3	4	4	4	5	5
m	2	3	2	2	2	3	5	4
m	2	3	3	2	3	3	2	2
m	1	4	3	2	4	3	5	2
m	5	5	2	3	3	5	3	4
m	5	4	3	4	3	2	5	5
m	5	4	1	5	4	2	4	5
m	5	3	5	3	2	3	4	4
m	4	3	4	5	5	2	2	4
m	5	5	4	5	4	4	5	5
m	2	5	3	3	4	3	5	5
m	5	5	3	5	5	1	4	4
m	5	2	3	5	5	5	4	4
m	5	2	5	4	3	4	5	3
m	3	5	5	3	4	5	3	5
m	5	4	4	5	5	5	4	4
m	4	4	5	4	5	5	4	4
m	2	5	5	3	5	5	5	4
m	4	4	5	3	5	5	5	5
m	3	5	5	1	5	1	4	2
m	3	1	2	4	2	5	3	2
m	5	5	5	5	4	5	5	5
m	4	4	4	4	5	3	5	5
m	1	5	4	3	3	5	5	4
m	1	3	4	5	3	2	5	4
m	3	5	5	3	5	3	5	5
m	2	5	3	5	3	5	5	5
m	5	3	2	4	4	5	4	3
m	4	5	3	4	4	2	5	1
m	5	5	3	5	5	5	4	5
