iter_0000010	iter_0000050	iter_0000100	iter_0000500	iter_0001000	iter_0005000	iter_0010000	iter_0050000	iter_0100000
0.20	0.20	0.19	0.20	0.21	0.21	0.21	0.21	0.21
0.08	0.17	0.19	0.19	0.20	0.20	0.20	0.20	0.20
0.08	0.14	0.16	0.19	0.18	0.19	0.19	0.19	0.19
0.06	0.04	0.15	0.19	0.15	0.18	0.18	0.17	0.18
0.00	0.01	0.09	0.13	0.13	0.13	0.17	0.16	0.17
0.00	0.00	0.02	0.09	0.12	0.13	0.17	0.13	0.15
0.00	0.00	0.02	0.09	0.11	0.08	0.16	0.13	0.14
0.00	0.00	0.02	0.05	0.09	0.07	0.11	0.12	0.13
0.18	0.00	0.00	0.03	0.07	0.06	0.11	0.11	0.13
0.13	0.00	0.00	0.03	0.07	0.06	0.08	0.10	0.11
0.09	0.00	0.00	0.02	0.03	0.05	0.07	0.10	0.09
0.06	0.00	0.00	0.02	0.03	0.04	0.07	0.08	0.09
0.06	0.00	0.00	0.02	0.03	0.04	0.07	0.08	0.08
0.05	0.00	0.00	0.01	0.02	0.04	0.06	0.07	0.08
0.00	0.00	0.00	0.01	0.02	0.03	0.05	0.07	0.08
0.00	0.00	0.00	0.01	0.02	0.02	0.04	0.06	0.07
0.20	0.00	0.00	0.01	0.02	0.02	0.04	0.06	0.07
0.15	0.00	0.00	0.01	0.01	0.02	0.03	0.06	0.06
0.08	0.00	0.00	0.01	0.01	0.02	0.03	0.05	0.06
0.01	0.00	0.00	0.01	0.01	0.02	0.03	0.04	0.06
0.00	0.00	0.00	0.01	0.01	0.02	0.03	0.04	0.06
0.00	0.00	0.00	0.00	0.01	0.02	0.03	0.04	0.06
0.00	0.00	0.00	0.00	0.01	0.02	0.03	0.04	0.05
0.00	0.00	0.00	0.00	0.01	0.02	0.03	0.04	0.05
0.19	0.19	0.00	0.00	0.01	0.02	0.03	0.03	0.04
0.05	0.18	0.00	0.00	0.01	0.01	0.03	0.03	0.04
0.05	0.15	0.00	0.00	0.01	0.01	0.02	0.03	0.04
0.01	0.13	0.00	0.00	0.01	0.01	0.02	0.03	0.03
0.00	0.11	0.00	0.00	0.01	0.01	0.02	0.03	0.03
0.00	0.06	0.00	0.00	0.01	0.01	0.02	0.03	0.03
0.06	0.05	0.00	0.00	0.01	0.01	0.02	0.02	0.03
0.06	0.02	0.00	0.00	0.01	0.01	0.02	0.02	0.03
0.05	0.01	0.00	0.00	0.00	0.01	0.02	0.02	0.03
0.01	0.01	0.00	0.00	0.00	0.01	0.02	0.02	0.03
0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.02	0.02
0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.02	0.02
0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.02	0.02
0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.02	0.02
0.00	0.00	0.20	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.19	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.17	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.15	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.08	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.04	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.02	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.02	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.01	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.01	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.01	0.02
m	0.20	0.01	0.20	0.20	0.21	0.21	0.21	0.21
m	0.13	0.00	0.20	0.19	0.20	0.20	0.20	0.20
m	0.12	0.00	0.19	0.19	0.18	0.19	0.20	0.20
m	0.08	0.00	0.18	0.18	0.18	0.15	0.16	0.19
m	0.06	0.00	0.13	0.17	0.18	0.13	0.13	0.15
m	0.02	0.00	0.11	0.11	0.13	0.13	0.12	0.13
m	0.01	0.00	0.08	0.09	0.12	0.09	0.11	0.13
m	0.01	0.00	0.05	0.06	0.10	0.09	0.11	0.12
m	0.01	0.00	0.05	0.03	0.08	0.09	0.10	0.11
m	0.00	0.00	0.04	0.03	0.06	0.08	0.07	0.10
m	0.00	0.00	0.03	0.03	0.05	0.08	0.07	0.08
m	0.00	0.00	0.02	0.02	0.04	0.07	0.06	0.08
m	0.00	0.00	0.02	0.02	0.04	0.06	0.06	0.08
m	0.00	0.00	0.02	0.02	0.04	0.05	0.05	0.07
m	0.00	0.00	0.02	0.02	0.03	0.04	0.05	0.07
m	0.00	0.00	0.02	0.01	0.03	0.04	0.05	0.06
m	0.00	0.00	0.02	0.01	0.03	0.04	0.05	0.06
m	0.00	0.00	0.01	0.01	0.03	0.04	0.05	0.06
m	0.00	0.00	0.01	0.01	0.03	0.03	0.04	0.05
m	0.00	0.00	0.01	0.01	0.02	0.03	0.04	0.04
m	0.00	0.00	0.01	0.01	0.02	0.03	0.04	0.04
m	0.00	0.00	0.01	0.01	0.02	0.03	0.03	0.04
m	0.20	0.00	0.00	0.01	0.02	0.03	0.03	0.04
m	0.20	0.00	0.00	0.01	0.02	0.03	0.03	0.04
m	0.06	0.00	0.00	0.00	0.02	0.03	0.03	0.04
m	0.06	0.00	0.00	0.00	0.02	0.02	0.03	0.03
m	0.05	0.00	0.00	0.00	0.01	0.02	0.03	0.03
m	0.05	0.00	0.00	0.00	0.01	0.02	0.02	0.03
m	0.04	0.00	0.00	0.00	0.01	0.02	0.02	0.03
m	0.02	0.00	0.00	0.00	0.01	0.02	0.02	0.03
m	0.00	0.00	0.00	0.00	0.01	0.02	0.02	0.03
m	0.00	0.20	0.00	0.00	0.01	0.02	0.02	0.03
m	0.00	0.19	0.00	0.00	0.01	0.02	0.02	0.03
m	0.00	0.17	0.00	0.00	0.01	0.02	0.02	0.03
m	0.00	0.16	0.00	0.00	0.01	0.02	0.02	0.02
m	0.00	0.09	0.00	0.00	0.01	0.02	0.02	0.02
m	0.00	0.02	0.00	0.00	0.01	0.02	0.02	0.02
m	0.00	0.02	0.00	0.00	0.01	0.02	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
