%
% ARFF data file, generated by KNIME
%
% Date: Wed Nov 23 11:42:04 BRST 2016
% User: guillaume
%

@RELATION DataTable
@ATTRIBUTE parents=usual	INTEGER
@ATTRIBUTE parents=pretentious	INTEGER
@ATTRIBUTE parents=great-pret	INTEGER
@ATTRIBUTE has_nurs=proper	INTEGER
@ATTRIBUTE has_nurs=less-proper	INTEGER
@ATTRIBUTE has_nurs=improper	INTEGER
@ATTRIBUTE has_nurs=critical	INTEGER
@ATTRIBUTE has_nurs=very-crit	INTEGER
@ATTRIBUTE form=complete	INTEGER
@ATTRIBUTE form=completed	INTEGER
@ATTRIBUTE form=incomplete	INTEGER
@ATTRIBUTE form=foster	INTEGER
@ATTRIBUTE children=1	INTEGER
@ATTRIBUTE children=2	INTEGER
@ATTRIBUTE children=3	INTEGER
@ATTRIBUTE children=>3	INTEGER
@ATTRIBUTE housing=convenient	INTEGER
@ATTRIBUTE housing=less-conv	INTEGER
@ATTRIBUTE housing=critical	INTEGER
@ATTRIBUTE finance=convenient	INTEGER
@ATTRIBUTE finance=inconv	INTEGER
@ATTRIBUTE social=nonprob	INTEGER
@ATTRIBUTE social=slightly-prob	INTEGER
@ATTRIBUTE social=problematic	INTEGER
@ATTRIBUTE health=recommended	INTEGER
@ATTRIBUTE health=priority	INTEGER
@ATTRIBUTE health=not-recom	INTEGER
@ATTRIBUTE class=priority	{0,1}

@DATA
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
