parents	has-nurs	form	children	housing	finance	social	health
usual	proper	complete	1	convenient	convenient	nonprob	recommended
usual	proper	complete	1	convenient	convenient	nonprob	priority
usual	proper	complete	1	convenient	convenient	nonprob	not-recom
usual	proper	complete	1	convenient	convenient	slightly-prob	recommended
usual	proper	complete	1	convenient	convenient	slightly-prob	priority
usual	proper	complete	1	convenient	convenient	slightly-prob	not-recom
usual	proper	complete	1	convenient	convenient	problematic	recommended
usual	proper	complete	1	convenient	convenient	problematic	priority
usual	proper	complete	1	convenient	convenient	problematic	not-recom
usual	proper	complete	1	convenient	inconv	nonprob	recommended
usual	proper	complete	1	convenient	inconv	nonprob	priority
usual	proper	complete	1	convenient	inconv	nonprob	not-recom
usual	proper	complete	1	convenient	inconv	slightly-prob	recommended
usual	proper	complete	1	convenient	inconv	slightly-prob	priority
usual	proper	complete	1	convenient	inconv	slightly-prob	not-recom
usual	proper	complete	1	convenient	inconv	problematic	recommended
usual	proper	complete	1	convenient	inconv	problematic	priority
usual	proper	complete	1	convenient	inconv	problematic	not-recom
usual	proper	complete	1	less-conv	convenient	nonprob	recommended
usual	proper	complete	1	less-conv	convenient	nonprob	priority
usual	proper	complete	1	less-conv	convenient	nonprob	not-recom
usual	proper	complete	1	less-conv	convenient	slightly-prob	recommended
usual	proper	complete	1	less-conv	convenient	slightly-prob	priority
usual	proper	complete	1	less-conv	convenient	slightly-prob	not-recom
usual	proper	complete	1	less-conv	convenient	problematic	recommended
usual	proper	complete	1	less-conv	convenient	problematic	priority
usual	proper	complete	1	less-conv	convenient	problematic	not-recom
usual	proper	complete	1	less-conv	inconv	nonprob	recommended
usual	proper	complete	1	less-conv	inconv	nonprob	priority
usual	proper	complete	1	less-conv	inconv	nonprob	not-recom
usual	proper	complete	1	less-conv	inconv	slightly-prob	recommended
usual	proper	complete	1	less-conv	inconv	slightly-prob	priority
usual	proper	complete	1	less-conv	inconv	slightly-prob	not-recom
usual	proper	complete	1	less-conv	inconv	problematic	recommended
usual	proper	complete	1	less-conv	inconv	problematic	priority
usual	proper	complete	1	less-conv	inconv	problematic	not-recom
usual	proper	complete	1	critical	convenient	nonprob	recommended
usual	proper	complete	1	critical	convenient	nonprob	priority
usual	proper	complete	1	critical	convenient	nonprob	not-recom
usual	proper	complete	1	critical	convenient	slightly-prob	recommended
usual	proper	complete	1	critical	convenient	slightly-prob	priority
usual	proper	complete	1	critical	convenient	slightly-prob	not-recom
usual	proper	complete	1	critical	convenient	problematic	recommended
usual	proper	complete	1	critical	convenient	problematic	priority
usual	proper	complete	1	critical	convenient	problematic	not-recom
usual	proper	complete	1	critical	inconv	nonprob	recommended
usual	proper	complete	1	critical	inconv	nonprob	priority
usual	proper	complete	1	critical	inconv	nonprob	not-recom
usual	proper	complete	1	critical	inconv	slightly-prob	recommended
usual	proper	complete	1	critical	inconv	slightly-prob	priority
usual	proper	complete	1	critical	inconv	slightly-prob	not-recom
usual	proper	complete	1	critical	inconv	problematic	recommended
usual	proper	complete	1	critical	inconv	problematic	priority
usual	proper	complete	1	critical	inconv	problematic	not-recom
usual	proper	complete	2	convenient	convenient	nonprob	recommended
usual	proper	complete	2	convenient	convenient	nonprob	priority
usual	proper	complete	2	convenient	convenient	nonprob	not-recom
usual	proper	complete	2	convenient	convenient	slightly-prob	recommended
usual	proper	complete	2	convenient	convenient	slightly-prob	priority
usual	proper	complete	2	convenient	convenient	slightly-prob	not-recom
usual	proper	complete	2	convenient	convenient	problematic	recommended
usual	proper	complete	2	convenient	convenient	problematic	priority
usual	proper	complete	2	convenient	convenient	problematic	not-recom
usual	proper	complete	2	convenient	inconv	nonprob	recommended
usual	proper	complete	2	convenient	inconv	nonprob	priority
usual	proper	complete	2	convenient	inconv	nonprob	not-recom
usual	proper	complete	2	convenient	inconv	slightly-prob	recommended
usual	proper	complete	2	convenient	inconv	slightly-prob	priority
usual	proper	complete	2	convenient	inconv	slightly-prob	not-recom
usual	proper	complete	2	convenient	inconv	problematic	recommended
usual	proper	complete	2	convenient	inconv	problematic	priority
usual	proper	complete	2	convenient	inconv	problematic	not-recom
usual	proper	complete	2	less-conv	convenient	nonprob	recommended
usual	proper	complete	2	less-conv	convenient	nonprob	priority
usual	proper	complete	2	less-conv	convenient	nonprob	not-recom
usual	proper	complete	2	less-conv	convenient	slightly-prob	recommended
usual	proper	complete	2	less-conv	convenient	slightly-prob	priority
