MW	Sv	Se	Mi	nAT	nSK	nBT	nBM	RBN	nDB	nTB	nAB	nH	nC	nN	nO	nS	nCL	nHM	nHet	nX	H%	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	nCIC	nR03	nR04	nR05	nR06	nR07	ARR	nCp	nCs	nCt	nCq	nCrs	nCrt	nCrq	nCar	nCbH	nCb-	nCconj	nR=Cp	nR=Cs	nR=Ct	nR#C-	nRCOOH	nRCOOR	nArCOOR	nRCHO	nArCHO	nRCO	nArCO	nArNH2	nArNHR	nRCN	nArNO2	nROH	nArOH	nOHp	nOHs	nOHt	nROR	nArOR	nSH	nOxiranes	nOxolanes	nFuranes	nPyridines	nHDon	nHAcc	Uc	Ui	Hy	TPSA(Tot)	MLOGP	SAtot
150.19	13.064	21.073	1.119	21	11	21	7	3	1	0	6	10	9	0	2	0	0	0	2	0	47.6	42.9	0.0	9.5	0.0	2	7	0	1	0	0	0	1	0	0.545	0	2	0	0	0	0	0	6	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	3.0	2.322	-0.206	37.3	2.083	230.314
122.13	10.01	15.305	1.111	15	9	15	7	1	1	0	6	6	7	0	2	0	0	0	2	0	40.0	46.7	0.0	13.3	0.0	0	7	0	1	0	0	0	1	0	0.667	0	0	0	0	0	0	0	6	4	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	3.0	2.322	-0.107	37.3	1.156	179.198
88.12	7.537	14.189	1.149	14	6	13	1	1	1	0	0	8	4	0	2	0	0	0	2	0	57.1	28.6	0.0	14.3	0.0	3	1	0	0	0	0	0	0	0	0.0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	1.0	1.0	0.158	37.3	-0.226	173.01
106.13	9.295	13.978	1.104	14	8	14	7	1	1	0	6	6	7	0	1	0	0	0	1	0	42.9	50.0	0.0	7.1	0.0	0	7	0	1	0	0	0	1	0	0.75	0	0	0	0	0	0	0	6	5	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3.0	2.322	-0.828	17.07	1.769	157.763
78.12	7.58	11.651	1.104	12	6	12	6	0	0	0	6	6	6	0	0	0	0	0	0	0	50.0	50.0	0.0	0.0	0.0	0	6	0	1	0	0	0	1	0	1.0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.807	2.0	-0.921	0.0	2.255	127.484
72.12	6.822	12.862	1.144	13	5	12	1	2	1	0	0	8	4	0	1	0	0	0	1	0	61.5	30.8	0.0	7.7	0.0	3	1	0	0	0	0	0	0	0	0.0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	1.0	-0.719	17.07	0.655	144.632
74.14	7.349	14.745	1.152	15	5	14	0	2	0	0	0	10	4	0	1	0	0	0	1	0	66.7	26.7	0.0	6.7	0.0	4	0	0	0	0	0	0	0	0	0.0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	0.132	20.23	0.8	162.518
88.12	7.537	14.189	1.149	14	6	13	1	2	1	0	0	8	4	0	2	0	0	0	2	0	57.1	28.6	0.0	14.3	0.0	3	1	0	0	0	0	0	0	0	0.0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1.0	1.0	0.158	37.3	0.586	165.03
146.15	12.01	17.305	1.098	17	11	18	8	0	2	0	6	6	9	0	2	0	0	0	2	0	35.3	52.9	0.0	11.8	0.0	0	9	0	2	0	0	0	2	0	0.5	0	0	0	0	0	0	0	6	4	2	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.17	2.585	-0.79	30.21	2.265	179.249
150.24	14.402	24.513	1.125	25	11	25	6	2	0	0	6	14	10	0	1	0	0	0	1	0	56.0	40.0	0.0	4.0	0.0	4	6	0	1	0	0	0	1	0	0.545	3	0	1	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	2.807	2.0	-0.294	20.23	2.545	257.634
